Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office - ICP 1 - 0,4925,2787,195
ICC - Absentee by Mail - 1,5,44,0
ICC - Absentee by Mail - 2,26,22,1
ICC - Absentee by Mail - 17,19,30,1
ICC - Absentee by Mail - 19,16,31,3
ICC - Absentee by Mail - 9,22,27,1
ICC - Absentee by Mail - 18,25,24,0
ICC - Absentee by Mail - 16,30,20,0
ICC - Absentee by Mail - 20,27,22,1
ICC - Absentee by Mail - 15,9,40,1
ICC - Absentee by Mail - 11,25,25,0
ICC - Absentee by Mail - 10,21,27,1
ICC - Absentee by Mail - 14,32,17,0
ICC - Absentee by Mail - 12,32,17,1
ICC - Absentee by Mail - 22,27,22,0
ICC - Absentee by Mail - 21,30,20,0
ICC - Absentee by Mail - 13,23,24,2
ICC - Absentee by Mail - 6,29,18,3
ICC - Absentee by Mail - 4,8,38,3
ICC - Absentee by Mail - 7,9,39,2
ICC - Absentee by Mail - 5,26,24,0
ICC - Absentee by Mail - 8,29,20,0
ICC - Absentee by Mail - 28,3,9,0
ICC - Absentee by Mail - 3,14,36,0
ICC - Absentee by Mail - 23,10,9,0
ICC - Absentee by Mail - 24,5,50,1
ICC - Absentee by Mail - 25,23,25,2
ICC - Absentee by Mail - 26,16,16,0
ICC - Absentee by Mail - 27,2,3,0
ED-Smith ICP 1 - 0,487,278,12
ED-Minter ICP 1 - 0,391,19,6
ED-Reedy Springs ICP 1 - 0,380,41,8
ED-WT Adams ICP 1 - 0,524,108,22
ED-Brewton ICP 1 - 0,500,82,14
ED-Cadwell ICP 1 - 0,294,34,10
ED-Burch ICP 1 - 0,187,21,6
ED-LCFS 10 ICP 1 - 0,403,149,14
ED-Fire Station 5 ICP 1 - 0,734,157,32
ED-Dudley ICP 1 - 0,517,94,10
ED-FBD-FLCICP 2 - 0,479,261,28
ED-Rural Fire Station ICP 1 - 0,612,100,21
ED-Hampton Mill ICP 1 - 0,716,69,29
ED-Calhoun Park ICP 1 - 0,156,358,15
ED-Calhoun Park ICP 2 - 0,100,202,12
ED-Buckeye ICP 1 - 0,210,97,5
ICC - Provisional - 1,9,2,0
