Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 2 - 0,2537,781,81
AV-Elections Office ICP 1 - 0,2460,858,93
ED-Bridgetown ICP 1 - 0,102,28,5
ED-West Green ICP 1 - 0,332,13,13
ED-Ambrose ICP 1 - 0,477,64,15
ED-Broxton ICP 1 - 0,498,126,22
Absentee By Mail ICC - 12,14,11,0
Absentee By Mail ICC - 14,7,16,2
Absentee By Mail ICC - 13,13,12,0
Absentee By Mail ICC - 15,11,12,1
Absentee By Mail ICC - 10,14,10,1
Absentee By Mail ICC - 11,12,13,0
Absentee By Mail ICC - 16,6,27,1
Absentee By Mail ICC - 2,13,11,1
Absentee By Mail ICC - 3,11,12,1
Absentee By Mail ICC - 8,16,8,1
Absentee By Mail ICC - 9,14,11,0
Absentee By Mail ICC - 7,12,11,0
Absentee By Mail ICC - 6,15,10,0
Absentee By Mail ICC - 4,11,13,0
Absentee By Mail ICC - 5,6,17,2
Absentee By Mail ICC - 1,8,16,1
ED-Douglas ICP 1 - 0,628,240,22
ED-Douglas ICP 2 - 0,498,293,26
ED-Douglas ICP 3 - 0,351,133,13
ED-Nicholls ICP 1 - 0,429,79,18
Provisional ICC - 1,5,4,0
