Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,36,14,0
Absentee By Mail ICC - 2,31,17,2
Absentee By Mail ICC - 3,33,16,1
Absentee By Mail ICC - 4,38,8,2
Absentee By Mail ICC - 5,30,10,2
Absentee By Mail ICC - 6,26,17,2
Absentee By Mail ICC - 7,1,0,0
AV-Election Office ICP 1 - 0,2486,332,96
ED-Nashville ICP 2 - 0,407,55,11
ED-Nashville ICP 1 - 0,465,61,18
ED-Ray City ICP 1 - 0,398,66,14
ED-Enigma ICP 1 - 0,358,24,13
ED-Alapaha ICP 1 - 0,333,76,12
ED- West Berrien ICP 1 - 0,363,19,18
Provisional ICC - 1,2,0,0
