Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,51,46,0
Absentee By Mail ICC - 2,55,42,2
Absentee By Mail ICC - 3,10,10,0
Absentee By Mail ICC - 4,23,45,1
ED-Massee ICP 1 - 0,148,24,5
ED-Riverbend ICP 1 - 0,205,10,13
ED-Elm Pine ICP 1 - 0,10,84,2
ED-Sparks ICP 1 - 0,72,107,13
ED-New Life Baptist Church ICP 1 - 0,288,30,10
ED-Cecil ICP 1 - 0,215,93,9
ED-Lenox ICP 1 - 0,343,61,11
ED-Delle Beamguard ICP 1 - 0,302,63,9
ED-Delle Beamguard ICP 2 - 0,50,22,3
AV-Elections Office ICP 1 - 0,2222,686,84
