Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,12,12,0
Absentee By Mail ICC - 2,10,15,0
Absentee By Mail ICC - 3,12,11,0
Absentee By Mail ICC - 4,6,19,0
Absentee By Mail ICC - 5,11,14,0
Absentee By Mail ICC - 6,11,14,0
Absentee By Mail ICC - 7,6,19,0
Absentee By Mail ICC - 8,10,15,0
Absentee By Mail ICC - 9,9,16,0
Absentee By Mail ICC - 10,10,15,0
Absentee By Mail ICC - 11,3,8,1
Absentee By Mail ICC - 12,4,21,0
Absentee By Mail ICC - 13,10,15,0
Absentee By Mail ICC - 14,1,1,0
Absentee By Mail ICC - 15,6,2,0
Absentee By Mail ICC - 16,12,13,0
Absentee By Mail ICC - 17,11,14,0
Absentee By Mail ICC - 18,15,10,0
Absentee By Mail ICC - 19,14,11,0
Absentee By Mail ICC - 20,13,12,0
Absentee By Mail ICC - 21,13,12,0
Absentee By Mail ICC - 22,11,14,0
Absentee By Mail ICC - 23,9,16,0
Absentee By Mail ICC - 24,9,14,0
Absentee By Mail ICC - 25,15,10,0
Absentee By Mail ICC - 26,10,11,3
Absentee By Mail ICC - 27,9,16,0
Absentee By Mail ICC - 28,18,6,1
Absentee By Mail ICC - 29,10,15,0
Absentee By Mail ICC - 30,11,14,0
Absentee By Mail ICC - 31,9,16,0
Absentee By Mail ICC - 32,7,18,0
Absentee By Mail ICC - 33,3,11,0
AV-Elections Office ICP 1 - 0,3359,1719,113
AV-Elections Office ICP 2 - 0,3345,1737,95
ED-Central ICP 1 - 0,426,127,21
ED-Boston ICP 1 - 0,199,125,10
ED-Jerger-Scott ICP 1 - 0,410,187,16
ED-Resource Center ICP 1 - 0,18,150,7
ED-Fire Station 2 ICP 1 - 0,196,42,8
ED-Coolidge-Merrilville ICP 1 - 0,378,64,20
ED-Barwick ICP 1 - 0,167,35,7
ED-Gatlin Creek ICP 1 - 0,349,70,10
Absentee By Mail ICC - 34,9,14,2
Absentee By Mail ICC - 35,10,12,0
Absentee By Mail ICC - 36,6,10,0
ED-New Covenant ICP 1 - 0,298,57,11
ED-Meigs ICP 1 - 0,149,103,6
ED-Little Ochlocknee Baptist ICP 1 - 0,279,35,12
ED-Harper ICP 1 - 0,81,197,2
ED-Metcalfe ICP 1 - 0,87,20,6
ED-Douglass ICP 1 - 0,64,277,3
ED-Ochlocknee ICP 1 - 0,309,40,12
ED-Remington Esc ICP 1 - 0,248,111,18
ED-Pavo-Patten ICP 1 - 0,321,32,11
Provisional ICC - 1,7,3,1
