Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,12,35,0
ICC-Absentee by Mail - 2,12,36,2
ICC-Absentee by Mail - 3,17,32,0
ICC-Absentee by Mail - 4,16,33,1
ICC-Absentee by Mail - 5,16,32,0
ICC-Absentee by Mail - 6,5,12,0
AV-Courthouse ICP 1 - 0,1251,773,58
ED-Courthouse ICP 1 - 0,106,45,4
ED-Young Farmer's Bldg ICP 1 - 0,254,53,9
ED-Rayle City Hall ICP 1 - 0,174,50,6
ED-Edward B Pope Center ICP 1 - 0,62,117,3
ED-Tignall Sch Lunch Rm ICP 1 - 0,241,76,9
ED-Metasville Fire Sta ICP 1 - 0,169,25,10
ED-Senior Citizen Center ICP 1 - 0,113,154,7
ICC-Provisional - 1,1,1,0
