Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,19,48,1
ICC-Absentee by Mail - 2,26,20,4
ICC-Absentee by Mail - 3,6,37,0
ICC-Absentee by Mail - 4,16,72,2
ICC-Absentee by Mail - 5,8,60,0
ICC-Absentee by Mail - 6,16,67,0
ICC-Absentee by Mail - 7,23,48,1
ICC-Absentee by Mail - 8,15,38,1
ICC-Absentee by Mail - 9,15,39,1
ICC-Absentee by Mail - 10,18,72,2
ICC-Absentee by Mail - 11,22,49,0
ICC-Absentee by Mail - 12,11,33,0
ICC-Absentee by Mail - 13,20,51,2
ICC-Absentee by Mail - 14,16,23,0
ICC-Absentee by Mail - 15,25,61,3
ICC-Absentee by Mail - 16,12,79,0
ICC-Absentee by Mail - 17,12,21,0
ICC- Absentee by Mail 2 - 1,29,55,0
ICC- Absentee by Mail 2 - 2,21,62,0
ICC- Absentee by Mail 2 - 3,13,57,1
ICC-Absentee by Mail - 18,22,70,3
ICC-Absentee by Mail - 19,14,62,1
ICC-Absentee by Mail - 20,17,25,0
ICC-Absentee by Mail - 21,14,77,3
ICC-Absentee by Mail - 22,24,50,1
ICC-Absentee by Mail - 23,21,64,0
ICC-Absentee by Mail - 24,14,11,0
ICC-Absentee by Mail - 25,19,65,0
ICC-Absentee by Mail - 26,14,68,0
ICC-Absentee by Mail - 27,27,62,0
AV-Main ICP 4 - 0,1373,2082,67
AV-Main ICP 5 - 0,974,3054,69
AV-Main ICP 6 - 0,1149,3030,64
AV-Main ICP 2 - 0,1121,3417,75
AV-Main ICP 7 - 0,1316,4919,90
ICC-Absentee by Mail - 28,17,78,1
ICC-Absentee by Mail - 29,5,12,0
ED-RO ICP 1 - 0,179,381,26
ED-SM ICP 1 - 0,202,350,23
ED-CO ICP 1 - 0,131,312,12
ED-FI ICP 1 - 0,107,573,21
ED-LA ICP 1 - 0,94,173,19
ED-HI ICP 1 - 0,241,299,17
ED-ST ICP 1 - 0,161,193,17
ED-MA ICP 1 - 0,341,261,29
ED-BT ICP 1 - 0,615,221,33
ED-HC ICP 1 - 0,219,224,26
ED-SP ICP 1 - 0,154,436,14
ED-OT ICP 1 - 0,114,598,13
ED-BA ICP 1 - 0,351,444,31
ED-LO ICP 1 - 0,481,345,34
ED-MI ICP 1 - 0,132,382,17
ED-FS ICP 1 - 0,122,330,18
ICC-Absentee by Mail - 30,6,21,1
ICC-Absentee by Mail - 31,3,6,0
ICC-Provisional - 1,4,24,0
ICC-Absentee by Mail - 32,0,1,0
