Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,61,35,4
ICC - Absentee By Mail - 9,9,3,0
ICC - Absentee By Mail - 3,60,34,4
ICC - Absentee By Mail - 2,74,23,2
ICC - Absentee By Mail - 10,3,1,2
ICC - Absentee By Mail - 4,71,26,2
ICC - Absentee By Mail - 5,72,25,1
ICC - Absentee By Mail - 8,3,0,0
ICC - Absentee By Mail - 7,3,13,1
ICC - Absentee By Mail - 6,16,4,1
AV-Elections Office ICP 2 - 0,1497,310,45
AV-Elections Office ICP 1 - 0,5417,1072,210
ED-Resaca ICP 1 - 0,414,40,17
ED-Lily Pond ICP 1 - 0,456,44,22
ED-Oostanaula ICP 1 - 0,195,31,19
ED-Calhoun City ICP 1 - 0,653,212,50
ICC - Absentee By Mail - 11,38,10,0
ICC - Absentee By Mail - 12,34,11,3
ICC - Absentee By Mail - 13,7,10,3
ICC - Absentee By Mail - 14,3,0,0
ED-Gordon County ICP 1 - 0,1034,183,57
ED-Fairmount ICP 1 - 0,719,62,31
ED-Plainville ICP 1 - 0,499,66,22
ED-Red Bud ICP 1 - 0,751,87,43
ED-Sonoraville ICP 1 - 0,1384,169,57
ED-Oakman ICP 1 - 0,462,44,20
ED-Pine Chapel ICP 2 - 0,199,10,4
ED-Pine Chapel ICP 1 - 0,151,11,4
ED-Calhoun City ICP 2 - 0,529,133,30
ED-Sugar Valley ICP 1 - 0,452,30,20
ICC - Absentee By Mail - 15,5,0,0
ICC - Provisional - 1,13,2,0
