Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-VR Office ICP 1 - 0,3079,630,117
ICC - Absentee By Mail - 1,6,6,0
ICC - Absentee By Mail - 2,37,10,2
ICC - Absentee By Mail - 3,37,11,0
ICC - Absentee By Mail - 4,26,19,1
ICC - Absentee By Mail - 5,12,10,2
ICC - Absentee By Mail - 6,27,20,1
ICC - Absentee By Mail - 7,30,14,1
ICC - Absentee By Mail - 8,5,10,0
ED-Menlo ICP 1 - 0,398,54,11
ED-Summerville ICP 2 - 0,339,74,12
ED-Summerville ICP 1 - 0,406,91,9
ICC - Election Day - 1,295,37,8
ED-Trion Rec ICP 1 - 0,869,102,33
ED-Lyerly Fire ICP 1 - 0,392,57,16
ED-Subligna ICP 1 - 0,183,10,7
ED-Haywood ICP 1 - 0,67,8,5
ICC - Absentee By Mail - 9,0,1,0
