Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,63,35,2
Absentee By Mail ICC - 2,25,65,0
Absentee By Mail ICC - 3,17,80,1
Absentee By Mail ICC - 4,52,46,1
Absentee By Mail ICC - 5,14,11,0
Absentee By Mail ICC - 6,13,8,0
Absentee By Mail ICC - 7,18,7,0
Absentee By Mail ICC - 8,9,8,1
Absentee By Mail ICC - 9,10,5,1
Absentee By Mail ICC - 10,7,18,0
AV-Elections Office ICP 1 - 0,5286,1911,189
ED-Docia ICP 1 - 0,316,21,7
ED-Omega ICP 1 - 0,242,41,10
ED-Tifton NW ICP 1 - 0,430,133,24
ED-Tifton NE ICP 1 - 0,285,134,7
ED-Chula ICP 1 - 0,416,30,16
ED-Brookfield ICP 1 - 0,347,38,19
ED-TyTy ICP 1 - 0,288,62,7
ED-Tifton South ICP 1 - 0,93,164,4
ED-Brighton ICP 1 - 0,468,56,16
ED-Eldorado ICP 1 - 0,363,37,3
ED-Tifton Lodge ICP 1 - 0,353,125,23
ED-Mott-Litman Gym ICP 1 - 0,70,243,9
Absentee By Mail ICC - 11,1,1,0
Absentee By Mail ICC - 12,1,3,0
Provisional ICC - 1,5,2,0
