Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,3923,740,141
ICC-Absentee by Mail - 1,29,20,1
ICC-Absentee by Mail - 2,31,17,2
ICC-Absentee by Mail - 3,30,20,0
ICC-Absentee by Mail - 4,41,9,0
ICC-Absentee by Mail - 5,31,18,1
ICC-Absentee by Mail - 6,27,18,4
ICC-Absentee by Mail - 7,32,14,1
ICC-Absentee by Mail - 8,41,8,1
ICC-Absentee by Mail - 9,30,20,0
ICC-Absentee by Mail - 10,29,20,1
ICC-Absentee by Mail - 11,2,1,0
ICC-Absentee by Mail - 12,5,1,3
ED-Hiawassee ICP 1 - 0,920,92,57
ED-Young Harris ICP 1 - 0,612,60,28
ICC-Absentee by Mail - 15,0,2,0
ICC-Provisional - 2,5,1,0
