Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,27,19,3
ICC - Absentee By Mail - 2,27,23,0
ICC - Absentee By Mail - 3,14,33,3
ICC - Absentee By Mail - 4,23,24,3
ICC - Absentee By Mail - 5,26,21,3
ICC - Absentee By Mail - 6,9,13,1
AV-Elections Office ICP 1 - 0,1708,697,73
ED-District 4 ICP 1 - 0,495,43,16
ED-District 3 ICP 1 - 0,303,26,14
ED-District 2 ICP 1 - 0,285,69,13
ED-District 1 ICP 1 - 0,134,100,9
ICC - Provisional - 1,2,3,0
Election Day Central ICP 1 - 1,245,25,9
Election Day Central ICP 1 - 2,192,20,8
