Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-GSU ICP 1 - 0,205,278,15
AV-Honey Bowen Bldg ICP 1 - 0,992,351,41
AV-Elections Office - ICP 1 - 0,5910,3130,235
ED-Sinkhole ICP 1 - 0,184,14,8
ED-Church ICP 2 - 0,563,380,34
ED-Blitch ICP 1 - 0,544,82,26
ED-Stilson ICP 1 - 0,707,81,27
ED-Emit ICP 1 - 0,699,166,23
ED-Lockhart ICP 1 - 0,245,46,5
ICC - Absentee by Mail - 1,24,22,1
ED-Bay ICP 1 - 0,570,59,37
ICC - Absentee by Mail - 2,24,25,1
ED-Nevils ICP 1 - 0,390,47,20
ED-Portal ICP 1 - 0,463,94,21
ICC - Absentee by Mail - 3,30,18,0
ICC - Absentee by Mail - 4,20,28,1
ED-Leefield ICP 1 - 0,390,47,13
ED-Statesboro ICP 1 - 0,627,415,25
ICC - Absentee by Mail - 5,16,32,0
ICC - Absentee by Mail - 6,30,20,0
ED-Fairground ICP 1 - 0,727,268,41
ICC - Absentee by Mail - 7,26,24,0
ED-Brooklet ICP 1 - 0,917,127,36
ICC - Absentee by Mail - 8,23,27,0
ICC - Absentee by Mail - 9,23,23,0
ED-Register ICP 1 - 0,192,60,8
ED-Pittman Park ICP 2 - 0,5,2,1
ICC - Absentee by Mail - 10,24,24,0
ED-Pittman Park ICP 1 - 0,286,357,25
ED-Hagin ICP 1 - 0,539,144,34
ICC - Absentee by Mail - 11,24,24,0
ICC - Absentee by Mail - 12,23,27,0
ICC - Absentee by Mail - 13,27,20,0
ICC - Absentee by Mail - 14,27,20,1
ICC - Absentee by Mail - 15,24,26,0
ICC - Absentee by Mail - 16,22,26,0
ICC - Absentee by Mail - 17,26,21,1
ICC - Absentee by Mail - 18,27,23,0
ICC - Absentee by Mail - 19,16,34,0
ICC - Absentee by Mail - 20,22,25,3
ICC - Absentee by Mail - 21,16,34,0
ICC - Absentee by Mail - 22,20,27,2
ICC - Absentee by Mail - 23,26,24,0
ICC - Absentee by Mail - 24,25,22,2
ICC - Absentee by Mail - 25,19,28,0
ICC - Absentee by Mail - 26,5,4,0
ICC - Absentee by Mail - 27,7,11,3
ICC - Absentee by Mail - 28,2,3,0
ICC - Provisional - 1,1,1,0
ICC - Provisional - 2,15,6,1
