Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Courthouse ICP 1 - 0,1957,1567,60
ICC-Absentee By Mail - 1,5,17,1
ICC-Absentee By Mail - 2,6,19,0
ICC-Absentee By Mail - 3,7,18,0
ICC-Absentee By Mail - 4,9,15,1
ICC-Absentee By Mail - 5,8,17,0
ICC-Absentee By Mail - 6,5,20,0
ICC-Absentee By Mail - 7,11,14,0
ICC-Absentee By Mail - 8,1,23,0
ICC-Absentee By Mail - 9,9,14,1
ICC-Absentee By Mail - 10,5,17,0
ICC-Absentee By Mail - 11,4,19,0
ICC-Absentee By Mail - 12,6,19,0
ICC-Absentee By Mail - 13,10,14,0
ICC-Absentee By Mail - 14,7,15,1
ICC-Absentee By Mail - 15,6,18,0
ICC-Absentee By Mail - 16,5,19,0
ICC-Absentee By Mail - 17,9,16,0
ICC-Absentee By Mail - 18,9,15,1
ICC-Absentee By Mail - 19,7,17,1
ICC-Absentee By Mail - 20,6,19,0
ICC-Absentee By Mail - 21,11,13,1
ICC-Absentee By Mail - 22,10,15,0
ICC-Absentee By Mail - 23,6,18,0
ICC-Absentee By Mail - 24,3,11,1
ICC-Absentee By Mail - 25,4,7,0
ED- No Waynesboro ICP 1 - 0,115,276,13
ED-Four Points ICP 1 - 0,543,166,19
ED-Greenscut ICP 1 - 0,190,105,9
ED-Alexander ICP 1 - 0,84,28,6
ED-St Clair ICP 1 - 0,101,44,3
ED-Midville ICP 1 - 0,88,97,9
ED-Gough ICP 1 - 0,52,61,5
ED-Keysville ICP 1 - 0,71,77,8
ED-Vidette ICP 1 - 0,70,49,5
ED-Girard ICP 1 - 0,126,101,4
ED-Scotts Crossroads ICP 1 - 0,43,32,2
ED-So Waynesboro ICP 1 - 0,400,228,18
ED-Munnerlyn ICP 1 - 0,55,25,0
ED-Telfair ICP 1 - 0,196,78,8
ED-Sardis ICP 1 - 0,240,102,11
ED-Blakeney ICP 1 - 0,72,63,2
ICC-Absentee By Mail - 26,0,1,0
ICC-Provisional - 1,3,6,0
