Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office - ICP 1 - 0,971,328,36
ED-Uvalda ICP 1 - 0,234,43,8
ED-MtVernon ICP 1 - 0,177,96,5
ICC - Absentee by Mail - 3,0,1,0
ICC - Absentee by Mail - 2,1,0,0
ICC - Absentee by Mail - 4,1,1,0
ICC - Absentee by Mail - 6,19,15,0
ICC - Absentee by Mail - 5,19,20,4
ICC - Absentee by Mail - 1,23,10,2
ED-Alston ICP 1 - 0,185,12,4
ED-Kibbee ICP 1 - 0,230,10,2
ED-Tarrytown ICP 1 - 0,145,9,4
ED-Ailey ICP 1 - 0,86,33,2
ED-Higgston ICP 1 - 0,351,55,12
ICC - Absentee by Mail - 7,0,0,1
