Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,33,15,1
ICC - Absentee By Mail - 2,37,12,1
ICC - Absentee By Mail - 3,38,12,0
ICC - Absentee By Mail - 4,34,14,1
ICC - Absentee By Mail - 5,33,14,2
ICC - Absentee By Mail - 6,30,15,2
ICC - Absentee By Mail - 7,34,14,2
ICC - Absentee By Mail - 8,33,14,0
ICC - Absentee By Mail - 9,40,10,0
ICC - Absentee By Mail - 10,34,14,1
ICC - Absentee By Mail - 11,35,10,1
ICC - Absentee By Mail - 12,27,17,1
ICC - Absentee By Mail - 13,29,21,0
ICC - Absentee By Mail - 14,37,11,1
ICC - Absentee By Mail - 15,33,14,0
ICC - Absentee By Mail - 16,30,17,2
ICC - Absentee By Mail - 17,29,21,1
ICC - Absentee By Mail - 18,33,13,2
ICC - Absentee By Mail - 19,2,4,0
AV-Elections Office ICP 1 - 0,4661,989,193
ICC - Absentee By Mail - 20,3,7,0
ED-Skeniah ICP 1 - 0,120,15,4
ED-Hemptown ICP 1 - 0,407,38,22
ED-Mobile ICP 1 - 0,367,31,21
ED-Toccoa ICP 1 - 0,579,67,39
ED-Fairplay ICP 1 - 0,306,21,14
ED-Morganton ICP 1 - 0,561,62,45
ED-Flinthill ICP 1 - 0,800,89,24
ED-Sugar Creek ICP 1 - 0,482,55,21
ED-Mineral Bluff ICP 1 - 0,428,33,24
ED-Noontootla ICP 1 - 0,251,38,16
ED-Colwell ICP 1 - 0,314,29,20
ED-Hothouse ICP 1 - 0,265,36,18
ICC - Election Day - 1,33,3,1
ICC - Absentee By Mail - 21,3,0,0
ICC - Provisional - 1,13,0,1
