Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail 2 - 1,44,18,0
ICC-Absentee by Mail 1 - 1,20,12,0
ICC-Absentee by Mail 1 - 2,31,12,0
ICC-Absentee by Mail 2 - 2,24,19,2
ICC-Absentee by Mail 2 - 3,25,4,0
ICC-Absentee by Mail 1 - 3,7,9,1
ICC-Absentee by Mail 1 - 4,17,14,0
ICC-Absentee by Mail 2 - 4,31,19,2
ICC-Absentee by Mail 2 - 5,35,15,0
ICC-Absentee by Mail 1 - 5,29,11,1
ICC-Absentee by Mail 1 - 6,16,10,0
ICC-Absentee by Mail 2 - 6,20,11,1
ICC-Absentee by Mail 2 - 7,31,11,1
ICC-Absentee by Mail 1 - 7,33,16,4
ICC-Absentee by Mail 2 - 8,33,16,0
ICC-Absentee by Mail 1 - 8,31,20,0
ICC-Absentee by Mail 2 - 9,45,13,0
ICC-Absentee by Mail 1 - 9,28,18,1
ICC-Absentee by Mail 2 - 10,21,18,2
ICC-Absentee by Mail 1 - 10,21,30,0
ICC-Absentee by Mail 2 - 11,19,15,1
ICC-Absentee by Mail 1 - 11,13,11,1
ICC-Absentee by Mail 1 - 12,25,9,0
ICC-Absentee by Mail 2 - 12,24,16,1
ICC-Absentee by Mail 1 - 13,26,9,0
ICC-Absentee by Mail 2 - 13,17,11,1
ICC-Absentee by Mail 1 - 14,33,14,2
ICC-Absentee by Mail 2 - 14,25,11,2
ICC-Absentee by Mail 2 - 15,8,9,2
ICC-Absentee by Mail 1 - 15,3,7,0
ICC-Absentee by Mail 1 - 16,10,7,1
ICC-Absentee by Mail 2 - 16,14,9,1
ICC-Absentee by Mail 1 - 17,3,2,1
ICC-Absentee by Mail 2 - 17,4,2,0
ICC-Absentee by Mail 1 - 18,21,24,2
ICC-Absentee by Mail 2 - 18,19,19,1
AV-Elections Office ICP 1 - 0,3842,815,173
AV-Elections Office ICP 2 - 0,4339,903,206
AV-Elections Office ICP 3 - 0,3394,762,166
AV-Muni Building ICP 1 - 0,1220,263,55
AV-Muni Building ICP 2 - 0,1091,223,49
AV-Commerce Park ICP 2 - 0,383,71,24
AV-Commerce Park ICP 1 - 0,831,141,30
ICC-Absentee by Mail 1 - 19,8,5,1
ICC-Absentee by Mail 2 - 19,6,8,2
ICC-Absentee by Mail 1 - 20,12,7,0
ICC-Absentee by Mail 2 - 20,9,7,0
ED-South Jackson ICP 2 - 0,719,128,42
ED-North Jackson ICP 1 - 0,949,166,66
ED-North Jackson ICP 2 - 0,1028,182,64
ED-Central Jackson ICP 1 - 0,732,158,40
ED-Central Jackson ICP 2 - 0,729,125,34
ED-Central Jackson ICP 3 - 0,588,100,39
ED-Central Jackson ICP 4 - 0,591,113,31
ED-West Jackson ICP 1 - 0,172,27,2
ED-West Jackson ICP 2 - 0,354,59,32
ED-West Jackson ICP 3 - 0,783,130,47
ED-West Jackson ICP 4 - 0,801,154,55
ED-West Jackson ICP 5 - 0,893,166,60
ED-South Jackson ICP 1 - 0,656,123,44
ICC-Provisional 1 - 2,6,3,0
ICC-Absentee by Mail 1 - 21,1,3,0
