Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,31,13,2
ICC-Absentee by Mail - 2,28,20,1
ICC-Absentee by Mail - 3,36,11,2
ICC-Absentee by Mail - 4,35,10,2
ICC-Absentee by Mail - 5,33,16,0
ICC-Absentee by Mail - 6,33,14,0
ICC-Absentee by Mail - 7,27,20,1
ICC-Absentee by Mail - 8,27,23,0
ICC-Absentee by Mail - 9,35,14,0
ICC-Absentee by Mail - 10,28,21,1
ICC-Absentee by Mail - 11,31,17,1
ICC-Absentee by Mail - 12,31,19,0
ICC-Absentee by Mail - 13,26,19,3
ICC-Absentee by Mail - 14,26,22,2
ICC-Absentee by Mail - 15,25,21,4
ICC-Absentee by Mail - 16,25,23,2
ICC-Absentee by Mail - 17,22,26,0
ICC-Absentee by Mail - 18,29,20,0
ICC-Absentee by Mail - 19,37,11,1
ICC-Absentee by Mail - 20,30,19,1
ICC-Absentee by Mail - 21,31,18,0
ICC-Absentee by Mail - 22,30,16,2
ICC-Absentee by Mail - 23,33,15,2
ICC-Absentee by Mail - 24,27,22,0
ICC-Absentee by Mail - 25,27,21,0
ICC-Absentee by Mail - 26,19,29,1
ICC-Absentee by Mail - 27,29,18,1
ICC-Absentee by Mail - 28,32,16,1
ICC-Absentee by Mail - 29,33,13,2
ICC-Absentee by Mail - 30,36,12,1
ICC-Absentee by Mail - 31,30,19,1
ICC-Absentee by Mail - 32,32,16,0
ICC-Absentee by Mail - 33,38,8,1
ICC-Absentee by Mail - 34,37,9,0
ICC-Absentee by Mail - 35,40,9,1
ICC-Absentee by Mail - 36,19,29,0
ICC-Absentee by Mail - 37,35,13,2
ICC-Absentee by Mail - 38,42,8,0
ICC-Absentee by Mail - 39,27,22,1
ICC-Absentee by Mail - 40,30,19,1
ICC-Absentee by Mail - 41,2,47,0
ICC-Absentee by Mail - 42,7,41,1
ICC-Absentee by Mail - 43,27,20,1
ICC-Absentee by Mail - 44,7,41,1
ICC-Absentee by Mail - 45,30,19,0
ICC-Absentee by Mail - 46,32,17,0
ICC-Absentee by Mail - 47,32,15,3
ICC-Absentee by Mail - 48,30,18,0
ICC-Absentee by Mail - 49,28,22,0
ICC-Absentee by Mail - 50,26,11,0
ICC-Absentee by Mail - 51,26,11,2
ICC-Absentee by Mail - 52,30,9,1
ICC-Absentee by Mail - 53,19,18,2
ICC-Absentee by Mail - 54,31,7,1
ICC-Absentee by Mail - 55,24,12,2
ICC-Absentee by Mail - 56,24,16,0
ICC-Absentee by Mail - 57,26,20,1
ICC-Absentee by Mail - 58,26,14,0
ICC-Absentee by Mail - 59,27,12,0
ICC-Absentee by Mail - 60,32,14,1
ICC-Absentee by Mail - 61,20,28,2
ICC-Absentee by Mail - 62,33,17,0
ICC-Absentee by Mail - 63,39,10,1
ICC-Absentee by Mail - 64,34,16,0
ICC-Absentee by Mail - 65,36,14,0
ICC-Absentee by Mail - 66,29,20,0
ICC-Absentee by Mail - 67,36,13,0
ICC-Absentee by Mail - 68,32,15,1
ICC-Absentee by Mail - 69,32,17,0
ICC-Absentee by Mail - 70,34,15,1
ICC-Absentee by Mail - 71,10,10,0
ICC-Absentee by Mail - 72,20,10,0
ICC-Absentee by Mail - 73,30,14,1
ICC-Absentee by Mail - 74,22,6,1
ICC-Absentee by Mail - 75,15,22,2
ICC-Absentee by Mail - 76,18,12,0
ICC-Absentee by Mail - 77,13,7,0
ICC-Absentee by Mail - 78,20,20,0
ICC-Absentee by Mail - 79,16,13,0
ICC-Absentee by Mail - 80,21,18,1
ICC-Absentee by Mail - 81,19,16,5
ICC-Absentee by Mail - 82,8,28,1
ICC-Absentee by Mail - 83,12,8,0
ICC-Absentee by Mail - 84,9,9,2
ICC-Absentee by Mail - 85,19,11,0
ICC-Absentee by Mail - 86,10,9,0
ICC-Absentee by Mail - 87,21,41,4
ICC-Absentee by Mail - 88,35,19,0
ICC-Absentee by Mail - 89,37,26,0
ICC-Absentee by Mail - 90,35,20,3
ICC-Absentee by Mail - 91,22,26,1
ICC-Absentee by Mail - 92,37,17,1
ICC-Absentee by Mail - 93,25,19,2
ICC-Absentee by Mail - 94,55,13,1
ICC-Absentee by Mail - 95,34,13,0
ICC-Absentee by Mail - 96,22,32,2
ICC-Absentee by Mail - 97,32,23,0
ICC-Absentee by Mail - 98,27,20,2
ICC-Absentee by Mail - 99,29,24,1
ICC-Absentee by Mail - 100,22,18,1
ICC-Absentee by Mail - 101,11,5,1
ICC-Absentee by Mail - 102,4,2,0
ICC-Absentee by Mail - 103,24,38,1
ICC-Absentee by Mail - 104,32,16,0
ICC-Absentee by Mail - 105,36,18,1
ICC-Absentee by Mail - 106,24,26,2
ICC-Absentee by Mail - 107,39,22,3
ICC-Absentee by Mail - 108,14,2,0
AIP-South 2- Mulberry ICP 1 - 0,2650,602,122
AIP-East 2 Chicopee ICP 1 - 0,1106,323,48
AIP-East 2 Chicopee ICP 2 - 0,966,308,43
AIP-South 2- Mulberry ICP 2 - 0,2623,640,112
AIP-South 1- Spout ICP 1 - 0,4476,1331,208
AIP-West_Murrayville ICP 1 - 0,3822,688,159
AIP-North Hall CC ICP 1 - 0,2521,281,98
AIP-North Hall CC ICP 2 - 0,2686,280,93
AIP-MAIN Civic Ctr ICP 1 - 0,2893,1313,106
AIP-MAIN Civic Ctr ICP 2 - 0,2423,1141,125
AIP-South 1- Spout ICP 2 - 0,4424,1342,218
AIP-East Hall CC ICP 2 - 0,2166,685,99
ICC-Absentee by Mail - 109,4,2,0
ICC-Absentee by Mail - 110,0,0,0
ED-Gainesville IV  ICP 1 - 0,245,112,18
ED-Flowery Branch II  ICP 1 - 0,707,188,51
ED-Oakwood I  ICP 1 - 0,354,183,20
ED-Glade  ICP 1 - 0,534,117,43
