Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 2 - 0,5491,1926,286
AV-Elections Office ICP 1 - 0,5447,1986,259
ICC-Absentee by Mail - 1,19,26,1
ICC-Absentee by Mail - 9,30,17,3
ICC-Absentee by Mail - 18,23,24,2
ICC-Absentee by Mail - 19,15,11,1
ICC-Absentee by Mail - 2,24,21,3
ICC-Absentee by Mail - 20,33,14,1
ICC-Absentee by Mail - 21,35,14,1
ICC-Absentee by Mail - 17,24,23,1
ICC-Absentee by Mail - 16,23,26,0
ICC-Absentee by Mail - 15,33,16,0
ICC-Absentee by Mail - 10,28,18,4
ICC-Absentee by Mail - 11,18,24,3
ICC-Absentee by Mail - 12,21,20,2
ICC-Absentee by Mail - 13,23,25,1
ICC-Absentee by Mail - 14,22,27,1
ICC-Absentee by Mail - 22,32,15,2
ICC-Absentee by Mail - 23,24,25,0
ICC-Absentee by Mail - 24,30,6,2
ICC-Absentee by Mail - 4,29,18,2
ICC-Absentee by Mail - 5,27,20,2
ICC-Absentee by Mail - 6,32,16,1
ICC-Absentee by Mail - 7,35,15,0
ICC-Absentee by Mail - 8,21,23,5
ICC-Absentee by Mail - 31,14,15,2
ICC-Absentee by Mail - 30,12,15,0
ICC-Absentee by Mail - 3,25,21,2
ICC-Absentee by Mail - 25,27,19,0
ICC-Absentee by Mail - 26,22,25,3
ICC-Absentee by Mail - 27,26,20,1
ICC-Absentee by Mail - 28,24,24,1
ICC-Absentee by Mail - 29,7,9,1
ED-04 ICP 1 - 0,653,118,43
ED-01 ICP 1 - 0,694,175,52
ED-13 ICP 1 - 0,583,244,46
ED-13 ICP 2 - 0,606,310,53
ED-08 ICP 1 - 0,534,135,40
ED-08 ICP 2 - 0,541,128,34
ED-16 ICP 1 - 0,721,267,52
ED-16 ICP 2 - 0,585,233,40
ED-03 ICP 1 - 0,626,156,41
ED-03 ICP 2 - 0,607,161,45
ED-05 ICP 1 - 0,784,211,43
ED-05 ICP 2 - 0,767,229,39
ED-02 ICP 1 - 0,703,117,51
ED-02 ICP 2 - 0,703,113,55
ICC-Absentee by Mail - 32,7,4,0
ICC-Provisional - 1,3,4,0
