Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,10,12,3
ICC - Absentee by Mail - 2,10,13,0
ICC - Absentee by Mail - 3,8,17,0
ICC - Absentee by Mail - 4,7,19,0
ICC - Absentee by Mail - 5,11,14,0
ICC - Absentee by Mail - 6,11,14,0
ICC - Absentee by Mail - 7,9,17,0
ICC - Absentee by Mail - 8,12,11,0
ICC - Absentee by Mail - 9,16,7,0
ICC - Absentee by Mail - 10,14,9,1
ICC - Absentee by Mail - 11,10,10,0
ICC - Absentee by Mail - 12,14,11,0
ICC - Absentee by Mail - 13,17,6,0
ICC - Absentee by Mail - 14,6,14,2
ICC - Absentee by Mail - 15,1,5,0
ICC - Absentee by Mail - 16,10,10,0
ICC - Absentee by Mail - 17,3,1,0
AV-Elections Office - ICP 1 - 0,2195,924,73
ED-Stillmore ICP 1 - 0,154,57,7
ED-Nunez ICP 1 - 0,121,16,6
ED-Swainsboro ICP 2 - 0,859,370,25
ED-Oak Park ICP 1 - 0,275,17,7
ED-Canoochee ICP 1 - 0,226,26,9
ED-Blundale ICP 1 - 0,286,13,8
ED-Garfield ICP 1 - 0,210,19,6
ED-Cross Green ICP 1 - 0,48,67,2
ED-Summertown ICP 1 - 0,159,36,4
ED-Adrian ICP 1 - 0,233,32,6
ED-Twin City ICP 1 - 0,388,128,12
ICC - Provisional - 1,7,0,0
