Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee By Mail 3 - 1,25,22,2
ICC-Absentee By Mail 4 - 1,19,29,2
ICC-Absentee By Mail 2 - 1,15,34,1
ICC-Absentee By Mail 6 - 1,24,26,0
ICC-Absentee By Mail 7 - 1,17,32,1
ICC-Absentee By Mail 3 - 2,19,29,0
ICC-Absentee By Mail 4 - 2,33,17,0
ICC-Absentee By Mail 4 - 3,13,14,1
ICC-Absentee By Mail 7 - 2,11,37,1
ICC-Absentee By Mail 6 - 2,12,38,0
ICC-Absentee By Mail 2 - 2,18,16,0
ICC-Absentee By Mail 6 - 3,19,28,3
ICC-Absentee By Mail 7 - 3,18,32,0
ICC-Absentee By Mail 3 - 3,17,29,0
ICC-Absentee By Mail 4 - 4,20,30,0
ICC-Absentee By Mail 7 - 4,25,23,1
ICC-Absentee By Mail 6 - 4,17,33,0
ICC-Absentee By Mail 3 - 4,10,40,0
ICC-Absentee By Mail 4 - 5,11,39,0
ICC-Absentee By Mail 2 - 3,24,14,1
ICC-Absentee By Mail 6 - 5,17,20,3
ICC-Absentee By Mail 2 - 4,10,37,3
ICC-Absentee By Mail 3 - 5,22,28,0
ICC-Absentee By Mail 6 - 6,15,31,2
ICC-Absentee By Mail 7 - 5,10,39,0
ICC-Absentee By Mail 2 - 5,22,24,2
ICC-Absentee By Mail 4 - 6,23,19,1
ICC-Absentee By Mail 6 - 7,12,27,0
ICC-Absentee By Mail 7 - 6,1,4,0
ICC-Absentee By Mail 4 - 7,20,28,2
ICC-Absentee By Mail 2 - 6,23,15,0
ICC-Absentee By Mail 3 - 6,20,30,0
ICC-Absentee By Mail 6 - 8,25,23,1
ICC-Absentee By Mail 7 - 7,16,32,1
ICC-Absentee By Mail 2 - 7,17,33,0
ICC-Absentee By Mail 3 - 7,14,35,1
ICC-Absentee By Mail 4 - 8,23,27,0
ICC-Absentee By Mail 7 - 8,13,18,0
ICC-Absentee By Mail 2 - 8,11,36,3
ICC-Absentee By Mail 4 - 9,21,27,0
ICC-Absentee By Mail 3 - 8,28,23,2
ICC-Absentee By Mail 6 - 9,21,26,3
ICC-Absentee By Mail 5 - 1,1,1,0
ICC-Absentee By Mail 5 - 2,2,0,0
ICC-Absentee By Mail 6 - 10,12,19,0
ICC-Absentee By Mail 7 - 9,16,28,3
ICC-Absentee By Mail 2 - 9,18,31,1
ICC-Absentee By Mail 3 - 9,9,22,2
ICC-Absentee By Mail 6 - 11,20,29,0
ICC-Absentee By Mail 7 - 10,16,25,1
ICC-Absentee By Mail 3 - 10,23,22,5
ICC-Absentee By Mail 7 - 11,21,27,1
ICC-Absentee By Mail 2 - 10,22,27,0
ICC-Absentee By Mail 6 - 12,24,26,0
ICC-Absentee By Mail 2 - 11,20,25,4
ICC-Absentee By Mail 6 - 13,9,39,1
ICC-Absentee By Mail 7 - 12,15,35,0
ICC-Absentee By Mail 2 - 12,24,24,1
ICC-Absentee By Mail 3 - 11,23,27,0
ICC-Absentee By Mail 7 - 13,12,36,0
ICC-Absentee By Mail 2 - 13,30,20,0
ICC-Absentee By Mail 6 - 14,24,25,1
ICC-Absentee By Mail 7 - 14,18,32,0
ICC-Absentee By Mail 3 - 12,30,17,3
ICC-Absentee By Mail 6 - 15,16,33,0
ICC-Absentee By Mail 2 - 14,16,34,0
ICC-Absentee By Mail 7 - 15,6,42,0
ICC-Absentee By Mail 6 - 16,15,34,0
ICC-Absentee By Mail 2 - 15,19,29,2
ICC-Absentee By Mail 3 - 13,20,30,0
ICC-Absentee By Mail 6 - 17,22,28,0
ICC-Absentee By Mail 7 - 16,18,32,0
ICC-Absentee By Mail 2 - 16,17,33,0
ICC-Absentee By Mail 3 - 14,21,26,1
ICC-Absentee By Mail 6 - 18,20,29,1
ICC-Absentee By Mail 2 - 17,13,37,0
ICC-Absentee By Mail 3 - 15,26,22,2
ICC-Absentee By Mail 7 - 17,8,41,0
ICC-Absentee By Mail 6 - 19,18,22,0
ICC-Absentee By Mail 7 - 18,18,32,0
ICC-Absentee By Mail 2 - 18,20,30,0
ICC-Absentee By Mail 3 - 16,22,27,1
ICC-Absentee By Mail 7 - 19,9,15,0
ICC-Absentee By Mail 6 - 20,18,30,1
ICC-Absentee By Mail 6 - 21,16,30,2
ICC-Absentee By Mail 2 - 19,25,23,2
ICC-Absentee By Mail 3 - 17,25,24,1
ICC-Absentee By Mail 2 - 20,12,37,0
ICC-Absentee By Mail 6 - 22,22,28,0
ICC-Absentee By Mail 7 - 20,22,23,4
ICC-Absentee By Mail 3 - 18,18,32,0
ICC-Absentee By Mail 7 - 21,20,30,0
ICC-Absentee By Mail 2 - 21,13,36,0
ICC-Absentee By Mail 6 - 23,19,31,0
ICC-Absentee By Mail 3 - 19,15,33,2
ICC-Absentee By Mail 7 - 22,15,35,0
ICC-Absentee By Mail 7 - 23,22,28,0
ICC-Absentee By Mail 7 - 24,24,24,2
ICC-Absentee By Mail 7 - 25,21,28,1
ICC-Absentee By Mail 7 - 26,17,11,0
ICC-Absentee By Mail 7 - 27,20,29,1
ICC-Absentee By Mail 7 - 28,30,19,1
ICC-Absentee By Mail 7 - 29,11,40,0
ICC-Absentee By Mail 7 - 30,15,19,0
ICC-Absentee By Mail 7 - 31,22,28,0
ICC-Absentee By Mail 7 - 32,16,34,0
ICC-Absentee By Mail 7 - 33,25,21,2
ICC-Absentee By Mail 7 - 34,16,33,1
ICC-Absentee By Mail 7 - 35,18,31,1
ICC-Absentee By Mail 7 - 36,27,23,0
ICC-Absentee By Mail 7 - 37,21,29,1
ICC-Absentee By Mail 7 - 38,14,36,0
ICC-Absentee By Mail 7 - 39,12,37,0
ICC-Absentee By Mail 7 - 40,22,27,0
ICC-Absentee By Mail 2 - 22,15,24,0
ICC-Absentee By Mail 7 - 41,20,29,0
ICC-Absentee By Mail 7 - 42,24,26,0
ICC-Absentee By Mail 7 - 43,18,32,0
ICC-Absentee By Mail 6 - 24,12,28,1
ICC-Absentee By Mail 3 - 20,13,37,0
ICC-Absentee By Mail 3 - 21,20,28,2
ICC-Absentee By Mail 6 - 25,18,32,0
ICC-Absentee By Mail 3 - 22,8,6,0
ICC-Absentee By Mail 7 - 44,15,8,0
ICC-Absentee By Mail 3 - 23,17,33,1
ICC-Absentee By Mail 7 - 45,16,33,0
ICC-Absentee By Mail 3 - 24,21,28,0
ICC-Absentee By Mail 7 - 46,19,29,2
ICC-Absentee By Mail 3 - 25,20,28,0
ICC-Absentee By Mail 7 - 47,12,35,1
ICC-Absentee By Mail 3 - 26,9,7,0
ICC-Absentee By Mail 7 - 48,8,15,0
ICC-Absentee By Mail 3 - 27,26,24,0
ICC-Absentee By Mail 3 - 28,16,18,1
ICC-Absentee By Mail 7 - 49,21,28,1
ICC-Absentee By Mail 7 - 50,20,29,0
ICC-Absentee By Mail 3 - 29,22,26,2
ICC-Absentee By Mail 7 - 51,19,30,0
ICC-Absentee By Mail 3 - 30,26,24,0
ICC-Absentee By Mail 3 - 31,20,26,3
ICC-Absentee By Mail 7 - 52,16,33,1
ICC-Absentee By Mail 3 - 32,30,19,0
ICC-Absentee By Mail 7 - 53,16,32,2
ICC-Absentee By Mail 7 - 54,24,26,0
ICC-Absentee By Mail 3 - 33,19,31,0
ICC-Absentee By Mail 3 - 34,29,21,0
ICC-Absentee By Mail 7 - 55,31,18,1
ICC-Absentee By Mail 3 - 35,21,29,0
ICC-Absentee By Mail 3 - 36,20,30,0
ICC-Absentee By Mail 7 - 56,26,24,0
ICC-Absentee By Mail 3 - 37,32,18,0
ICC-Absentee By Mail 7 - 57,21,29,0
ICC-Absentee By Mail 3 - 38,15,35,0
ICC-Absentee By Mail 3 - 39,19,28,2
ICC-Absentee By Mail 7 - 58,22,27,0
ICC-Absentee By Mail 7 - 59,12,37,1
ICC-Absentee By Mail 3 - 40,37,11,2
ICC-Absentee By Mail 7 - 60,20,29,1
ICC-Absentee By Mail 3 - 41,21,27,1
ICC-Absentee By Mail 7 - 61,23,26,1
ICC-Absentee By Mail 7 - 62,21,27,2
ICC-Absentee By Mail 3 - 42,18,31,0
ICC-Absentee By Mail 3 - 43,19,30,1
ICC-Absentee By Mail 3 - 44,18,30,2
ICC-Absentee By Mail 7 - 63,14,35,0
ICC-Absentee By Mail 3 - 45,18,32,0
ICC-Absentee By Mail 3 - 46,32,16,2
ICC-Absentee By Mail 7 - 64,20,30,0
ICC-Absentee By Mail 5 - 3,0,0,0
ICC-Absentee By Mail 7 - 65,17,33,0
ICC-Absentee By Mail 5 - 4,0,2,0
ICC-Absentee By Mail 5 - 5,2,0,0
ICC-Absentee By Mail 5 - 6,0,2,0
ICC-Absentee By Mail 5 - 7,1,3,0
ICC-Absentee By Mail 7 - 66,23,28,0
ICC-Absentee By Mail 5 - 8,1,0,1
ICC-Absentee By Mail 7 - 67,24,20,1
ICC-Absentee By Mail 3 - 47,25,23,1
ICC-Absentee By Mail 7 - 68,22,27,1
ICC-Absentee By Mail 3 - 48,24,24,2
ICC-Absentee By Mail 3 - 49,1,4,0
ICC-Absentee By Mail 3 - 50,8,8,0
ICC-Absentee By Mail 7 - 69,15,34,1
ICC-Absentee By Mail 3 - 51,30,16,3
ICC-Absentee By Mail 7 - 70,20,29,1
ICC-Absentee By Mail 7 - 71,7,8,0
ICC-Absentee By Mail 3 - 52,8,20,0
ICC-Absentee By Mail 3 - 53,22,23,0
ICC-Absentee By Mail 7 - 72,9,18,1
ICC-Absentee By Mail 3 - 54,15,17,0
ICC-Absentee By Mail 7 - 73,15,25,0
ICC-Absentee By Mail 3 - 55,19,29,2
ICC-Absentee By Mail 7 - 74,17,32,1
