Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Fire Station 2 ICP 2 - 0,4048,948,143
AV-Ballard ICP 1 - 0,5256,1561,187
ICC Fire Station 2 - 25,12,6,2
ICC Fire Station 2 - 9,26,14,0
ICC Fire Station 2 - 24,61,31,4
ICC Fire Station 2 - 23,81,32,5
ICC Fire Station 2 - 22,83,17,3
ICC Fire Station 2 - 30,8,3,0
ICC Fire Station 2 - 29,20,5,2
ICC Fire Station 2 - 26,45,13,1
ICC Fire Station 2 - 3,66,15,1
ICC Fire Station 2 - 27,61,21,2
ICC Fire Station 2 - 21,16,0,0
ICC Fire Station 2 - 13,25,1,0
ICC Fire Station 2 - 2,23,16,2
ICC Fire Station 2 - 20,39,17,1
ICC Fire Station 2 - 28,88,27,6
ICC Fire Station 2 - 12,61,18,2
ICC Fire Station 2 - 11,106,31,8
ICC Fire Station 2 - 10,28,8,2
ICC Fire Station 2 - 14,10,2,0
ICC Fire Station 2 - 15,22,6,0
ICC Fire Station 2 - 19,12,5,0
ICC Fire Station 2 - 18,30,16,0
ICC Fire Station 2 - 17,52,8,1
ICC Fire Station 2 - 16,9,2,3
ICC Fire Station 2 - 31,27,6,1
ICC Fire Station 2 - 32,26,6,0
ICC Fire Station 2 - 48,51,21,5
ICC Fire Station 2 - 47,80,18,2
ICC Fire Station 2 - 46,89,10,3
ICC Fire Station 2 - 45,55,8,1
ICC Fire Station 2 - 49,86,11,4
ICC Fire Station 2 - 5,82,29,2
ICC Fire Station 2 - 8,39,4,0
ICC Fire Station 2 - 7,31,15,3
ICC Fire Station 2 - 6,3,0,0
ICC Fire Station 2 - 50,95,28,0
ICC Fire Station 2 - 44,38,16,4
ICC Fire Station 2 - 43,21,6,1
ICC Fire Station 2 - 42,72,20,4
ICC Fire Station 2 - 36,59,37,2
ICC Fire Station 2 - 35,58,25,0
ICC Fire Station 2 - 34,63,35,2
ICC Fire Station 2 - 33,51,16,1
ICC Fire Station 2 - 37,64,29,6
ICC Fire Station 2 - 38,39,8,2
ICC Fire Station 2 - 41,75,20,2
ICC Fire Station 2 - 40,56,12,2
ICC Fire Station 2 - 4,52,10,3
ICC Fire Station 2 - 39,12,10,0
ICC Fire Station 2 - 1,55,4,2
ICC Absentee By Mail - 32,16,8,0
