Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Board of Registrars ICP 1 - 0,2047,409,84
AV-Board of Registrars ICP 2 - 0,4437,895,177
ICC - Absentee By Mail - 12,27,20,1
ICC - Absentee By Mail - 14,27,20,2
ICC - Absentee By Mail - 13,32,15,0
ICC - Absentee By Mail - 9,34,14,2
ICC - Absentee By Mail - 15,35,13,1
ICC - Absentee By Mail - 16,13,9,0
ICC - Absentee By Mail - 17,10,9,1
ICC - Absentee By Mail - 10,25,23,1
ICC - Absentee By Mail - 11,27,17,1
ICC - Absentee By Mail - 2,42,15,2
ICC - Absentee By Mail - 8,38,8,3
ICC - Absentee By Mail - 5,34,14,1
ICC - Absentee By Mail - 7,31,17,2
ICC - Absentee By Mail - 3,34,16,0
ICC - Absentee By Mail - 6,28,21,0
ICC - Absentee By Mail - 4,30,17,1
ICC - Absentee By Mail - 1,22,13,0
ED-Blairsville ICP 1 - 0,381,46,25
ED-Owltown ICP 1 - 0,320,33,17
ED-Trackrock ICP 1 - 0,250,33,13
ED-Choestoe ICP 1 - 0,396,28,23
ED-Dooley ICP 1 - 0,442,67,22
ED-Pat Colwell ICP 1 - 0,454,55,26
ED-Coosa ICP 1 - 0,532,40,24
ED-Ivy Log ICP 1 - 0,521,49,30
ED-Gumlog ICP 1 - 0,492,39,26
ED-Suches ICP 1 - 0,266,18,10
ED-Jones Creek ICP 1 - 0,565,48,31
ICC - Absentee By Mail - 18,2,0,0
ICC - Provisional - 1,3,0,0
