Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC 1 - 1,16,78,1
Absentee By Mail ICC 1 - 2,18,80,1
Absentee By Mail ICC 1 - 3,18,81,1
Absentee By Mail ICC 1 - 4,29,70,0
Absentee By Mail ICC 1 - 5,30,70,0
Absentee By Mail ICC 1 - 6,26,71,1
Absentee By Mail ICC 1 - 7,12,37,1
Absentee By Mail ICC 1 - 8,22,77,0
Absentee By Mail ICC 1 - 9,13,26,0
Absentee By Mail ICC 2 - 1,12,87,1
Absentee By Mail ICC 2 - 10,27,69,2
Absentee By Mail ICC 2 - 11,17,81,0
Absentee By Mail ICC 2 - 2,22,75,1
Absentee By Mail ICC 2 - 3,10,88,0
Absentee By Mail ICC 2 - 4,29,68,1
Absentee By Mail ICC 2 - 5,15,80,3
Absentee By Mail ICC 2 - 6,13,86,0
Absentee By Mail ICC 2 - 7,9,81,0
Absentee By Mail ICC 2 - 8,26,73,1
Absentee By Mail ICC 2 - 9,13,75,2
Absentee By Mail ICC 3 - 1,6,93,0
Absentee By Mail ICC 3 - 10,13,87,0
Absentee By Mail ICC 3 - 100,21,79,0
Absentee By Mail ICC 3 - 101,18,79,1
Absentee By Mail ICC 3 - 102,18,81,0
Absentee By Mail ICC 3 - 103,24,72,2
Absentee By Mail ICC 3 - 104,25,73,1
Absentee By Mail ICC 3 - 105,22,75,2
Absentee By Mail ICC 3 - 106,11,37,1
Absentee By Mail ICC 3 - 107,15,71,1
Absentee By Mail ICC 3 - 108,22,74,1
Absentee By Mail ICC 3 - 109,27,67,2
Absentee By Mail ICC 3 - 11,5,92,0
Absentee By Mail ICC 3 - 110,25,72,1
Absentee By Mail ICC 3 - 111,13,87,0
Absentee By Mail ICC 3 - 112,25,74,0
Absentee By Mail ICC 3 - 113,26,69,0
Absentee By Mail ICC 3 - 114,10,89,0
Absentee By Mail ICC 3 - 115,19,80,1
Absentee By Mail ICC 3 - 116,8,86,2
Absentee By Mail ICC 3 - 117,10,89,0
Absentee By Mail ICC 3 - 118,19,75,0
Absentee By Mail ICC 3 - 119,14,84,0
Absentee By Mail ICC 3 - 12,6,94,0
Absentee By Mail ICC 3 - 120,8,92,0
Absentee By Mail ICC 3 - 121,12,87,0
Absentee By Mail ICC 3 - 122,21,76,1
Absentee By Mail ICC 3 - 123,28,70,0
Absentee By Mail ICC 3 - 124,17,81,0
Absentee By Mail ICC 3 - 125,16,82,0
Absentee By Mail ICC 3 - 127,20,75,1
Absentee By Mail ICC 3 - 128,26,70,2
Absentee By Mail ICC 3 - 129,25,75,0
Absentee By Mail ICC 3 - 13,5,45,0
Absentee By Mail ICC 3 - 130,10,88,1
Absentee By Mail ICC 3 - 131,15,81,1
Absentee By Mail ICC 3 - 132,21,78,0
Absentee By Mail ICC 3 - 133,20,80,0
Absentee By Mail ICC 3 - 134,6,91,1
Absentee By Mail ICC 3 - 135,1,30,0
Absentee By Mail ICC 3 - 136,20,76,1
Absentee By Mail ICC 3 - 137,22,73,1
Absentee By Mail ICC 3 - 138,22,74,3
Absentee By Mail ICC 3 - 139,25,73,1
Absentee By Mail ICC 3 - 14,14,37,1
Absentee By Mail ICC 3 - 140,25,67,2
Absentee By Mail ICC 3 - 141,26,73,0
Absentee By Mail ICC 3 - 142,21,77,1
Absentee By Mail ICC 3 - 143,15,82,1
Absentee By Mail ICC 3 - 144,9,41,0
Absentee By Mail ICC 3 - 145,14,86,0
Absentee By Mail ICC 3 - 146,11,88,0
Absentee By Mail ICC 3 - 147,16,80,3
Absentee By Mail ICC 3 - 148,13,84,1
Absentee By Mail ICC 3 - 149,8,90,0
Absentee By Mail ICC 3 - 15,15,84,0
Absentee By Mail ICC 3 - 150,14,85,0
Absentee By Mail ICC 3 - 151,23,74,1
Absentee By Mail ICC 3 - 152,19,74,2
Absentee By Mail ICC 3 - 153,27,72,0
Absentee By Mail ICC 3 - 154,21,73,1
Absentee By Mail ICC 3 - 155,23,73,2
Absentee By Mail ICC 3 - 156,28,68,3
Absentee By Mail ICC 3 - 157,22,77,1
Absentee By Mail ICC 3 - 158,14,83,3
Absentee By Mail ICC 3 - 159,30,63,0
Absentee By Mail ICC 3 - 16,12,86,1
Absentee By Mail ICC 3 - 160,19,80,0
Absentee By Mail ICC 3 - 161,16,80,1
Absentee By Mail ICC 3 - 162,19,80,0
Absentee By Mail ICC 3 - 163,27,70,0
Absentee By Mail ICC 3 - 164,20,78,0
Absentee By Mail ICC 3 - 165,22,77,0
Absentee By Mail ICC 3 - 166,24,74,0
Absentee By Mail ICC 3 - 167,12,86,0
Absentee By Mail ICC 3 - 168,17,79,2
Absentee By Mail ICC 3 - 169,11,86,1
Absentee By Mail ICC 3 - 17,16,84,0
Absentee By Mail ICC 3 - 170,13,81,3
Absentee By Mail ICC 3 - 171,29,67,2
Absentee By Mail ICC 3 - 172,19,77,1
Absentee By Mail ICC 3 - 173,29,68,0
Absentee By Mail ICC 3 - 174,13,80,0
Absentee By Mail ICC 3 - 175,29,69,2
Absentee By Mail ICC 3 - 176,16,79,2
Absentee By Mail ICC 3 - 177,11,37,0
Absentee By Mail ICC 3 - 178,25,69,1
Absentee By Mail ICC 3 - 179,2,45,1
Absentee By Mail ICC 3 - 18,9,89,0
Absentee By Mail ICC 3 - 180,6,41,2
Absentee By Mail ICC 3 - 181,4,46,0
Absentee By Mail ICC 3 - 182,6,29,0
Absentee By Mail ICC 3 - 183,3,38,0
Absentee By Mail ICC 3 - 184,10,39,0
Absentee By Mail ICC 3 - 185,17,32,0
Absentee By Mail ICC 3 - 186,15,35,0
Absentee By Mail ICC 3 - 187,14,34,0
Absentee By Mail ICC 3 - 188,11,35,1
Absentee By Mail ICC 3 - 189,12,38,0
Absentee By Mail ICC 3 - 19,10,88,0
Absentee By Mail ICC 3 - 190,11,38,1
Absentee By Mail ICC 3 - 191,12,36,0
Absentee By Mail ICC 3 - 192,18,80,1
Absentee By Mail ICC 3 - 193,19,79,1
Absentee By Mail ICC 3 - 194,19,76,5
Absentee By Mail ICC 3 - 195,12,85,0
Absentee By Mail ICC 3 - 196,22,78,0
Absentee By Mail ICC 3 - 197,19,77,0
Absentee By Mail ICC 3 - 198,6,93,1
Absentee By Mail ICC 3 - 199,18,79,0
Absentee By Mail ICC 3 - 2,14,83,1
Absentee By Mail ICC 3 - 20,7,93,0
Absentee By Mail ICC 3 - 200,18,72,2
Absentee By Mail ICC 3 - 202,2,27,0
Absentee By Mail ICC 3 - 203,14,34,0
Absentee By Mail ICC 3 - 204,5,43,1
Absentee By Mail ICC 3 - 205,17,78,1
Absentee By Mail ICC 3 - 206,16,81,1
Absentee By Mail ICC 3 - 207,18,82,0
Absentee By Mail ICC 3 - 208,16,82,1
Absentee By Mail ICC 3 - 209,15,83,1
Absentee By Mail ICC 3 - 21,15,76,2
Absentee By Mail ICC 3 - 210,9,39,0
Absentee By Mail ICC 3 - 211,2,48,0
Absentee By Mail ICC 3 - 212,8,45,2
Absentee By Mail ICC 3 - 213,6,15,0
Absentee By Mail ICC 3 - 214,4,11,0
Absentee By Mail ICC 3 - 215,17,82,1
Absentee By Mail ICC 3 - 216,21,75,1
Absentee By Mail ICC 3 - 217,10,86,3
Absentee By Mail ICC 3 - 218,23,72,0
Absentee By Mail ICC 3 - 219,10,40,0
Absentee By Mail ICC 3 - 22,24,73,2
Absentee By Mail ICC 3 - 220,11,36,3
Absentee By Mail ICC 3 - 221,5,44,0
Absentee By Mail ICC 3 - 222,10,37,1
Absentee By Mail ICC 3 - 223,13,35,1
Absentee By Mail ICC 3 - 224,12,85,0
Absentee By Mail ICC 3 - 225,8,36,2
Absentee By Mail ICC 3 - 226,8,24,1
Absentee By Mail ICC 3 - 227,17,33,0
Absentee By Mail ICC 3 - 228,10,36,0
Absentee By Mail ICC 3 - 229,7,41,1
