Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,30,67,3
Absentee By Mail ICC - 2,43,56,0
Absentee By Mail ICC - 5,38,50,7
Absentee By Mail ICC - 3,37,60,2
Absentee By Mail ICC - 4,41,53,2
Absentee By Mail ICC - 6,41,53,3
Absentee By Mail ICC - 7,58,38,2
Absentee By Mail ICC - 8,29,40,2
Absentee By Mail ICC - 9,14,23,0
Absentee By Mail ICC - 10,36,49,3
Absentee By Mail ICC - 11,33,49,5
AV-Elections Office ICP 3 - 0,737,207,24
AV-Elections Office ICP 2 - 0,521,193,23
AV-Elections Office ICP 1 - 0,5554,2437,220
ED-Woodbine ICP 1 - 0,343,97,14
ED-Harbor Worship Center ICP 1 - 0,532,95,31
ED-North Kingsland ICP 1 - 0,207,138,30
ED-Kingsland ICP 1 - 0,209,115,15
ED-East Kingsland ICP 1 - 0,820,239,43
ED-Waverly ICP 1 - 0,408,96,17
ED-Tarboro ICP 1 - 0,241,55,9
ED-Agape Christian Fellowship ICP 1 - 0,871,279,63
ED-South St. Marys ICP 1 - 0,345,92,15
ED-West St. Marys ICP 1 - 0,505,112,22
ED-North St. Marys ICP 1 - 0,168,82,21
ED-Harriet's Bluff ICP 1 - 0,428,60,28
Provisional ICC - 1,2,1,1
Absentee By Mail ICC - 12,0,1,0
