Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,15,10,0
ICC-Absentee by Mail - 38,13,10,2
ICC-Absentee by Mail - 39,11,14,0
ICC-Absentee by Mail - 4,7,17,0
ICC-Absentee by Mail - 37,4,19,1
ICC-Absentee by Mail - 36,15,10,0
ICC-Absentee by Mail - 35,8,17,0
ICC-Absentee by Mail - 32,11,13,0
ICC-Absentee by Mail - 33,17,8,0
ICC-Absentee by Mail - 34,10,15,0
ICC-Absentee by Mail - 3,5,19,1
ICC-Absentee by Mail - 30,11,14,0
ICC-Absentee by Mail - 16,4,20,0
ICC-Absentee by Mail - 31,7,12,2
ICC-Absentee by Mail - 17,10,14,1
ICC-Absentee by Mail - 46,4,3,0
ICC-Absentee by Mail - 43,4,14,0
ICC-Absentee by Mail - 45,2,22,0
ICC-Absentee by Mail - 44,2,22,0
ICC-Absentee by Mail - 47,6,14,1
ICC-Absentee by Mail - 6,12,8,0
ICC-Absentee by Mail - 7,14,10,0
ICC-Absentee by Mail - 5,10,10,4
ICC-Absentee by Mail - 8,13,12,0
ICC-Absentee by Mail - 42,15,9,0
ICC-Absentee by Mail - 40,13,11,0
ICC-Absentee by Mail - 41,10,15,0
ICC-Absentee by Mail - 9,9,13,1
ICC-Absentee by Mail - 23,16,8,1
ICC-Absentee by Mail - 22,11,14,0
ICC-Absentee by Mail - 21,14,8,3
ICC-Absentee by Mail - 24,8,17,0
ICC-Absentee by Mail - 25,8,17,0
ICC-Absentee by Mail - 26,11,14,0
ICC-Absentee by Mail - 29,9,15,0
ICC-Absentee by Mail - 28,6,17,1
ICC-Absentee by Mail - 27,9,15,1
ICC-Absentee by Mail - 20,14,10,0
ICC-Absentee by Mail - 2,9,16,0
ICC-Absentee by Mail - 19,11,14,0
ICC-Absentee by Mail - 12,12,12,2
ICC-Absentee by Mail - 11,13,11,1
ICC-Absentee by Mail - 10,8,17,0
ICC-Absentee by Mail - 13,13,11,0
ICC-Absentee by Mail - 14,11,12,1
ICC-Absentee by Mail - 15,3,20,0
ICC-Absentee by Mail - 18,13,11,1
ICC-AIP SOS - 1,42,34,2
ICC-AIP SOS - 25,6,49,0
ICC-AIP SOS - 24,40,23,1
ICC-AIP SOS - 23,54,45,0
ICC-AIP SOS - 22,21,16,0
ICC-AIP SOS - 3,42,51,3
ICC-AIP SOS - 4,57,41,2
ICC-AIP SOS - 8,56,39,2
ICC-AIP SOS - 7,61,34,1
ICC-AIP SOS - 6,27,19,2
ICC-AIP SOS - 5,29,20,1
ICC-AIP SOS - 21,3,1,0
ICC-AIP SOS - 20,8,5,1
ICC-AIP SOS - 2,10,9,1
ICC-AIP SOS - 13,29,24,2
ICC-AIP SOS - 12,46,49,2
ICC-AIP SOS - 11,26,30,0
ICC-AIP SOS - 10,19,22,1
ICC-AIP SOS - 14,22,18,1
ICC-AIP SOS - 15,31,25,0
ICC-AIP SOS - 19,26,16,1
ICC-AIP SOS - 18,19,22,1
ICC-AIP SOS - 17,28,25,2
ICC-AIP SOS - 16,20,20,1
ICC-AIP SOS - 9,58,42,0
ICC-Absentee by Mail - 48,13,12,0
ICC-Absentee by Mail - 49,7,14,0
ICC-Absentee by Mail - 56,3,1,0
ICC-Absentee by Mail - 57,3,5,0
ICC-Absentee by Mail - 55,12,10,3
ICC-Absentee by Mail - 54,12,11,0
ICC-Absentee by Mail - 50,13,10,0
ICC-Absentee by Mail - 51,11,13,0
ICC-Absentee by Mail - 52,8,14,0
ICC-Absentee by Mail - 53,9,15,1
ICC-Absentee by Mail - 66,9,6,1
ICC-Absentee by Mail - 65,7,17,0
ICC-Absentee by Mail - 67,2,2,0
ICC-Absentee by Mail - 68,0,1,0
ICC-Absentee by Mail - 64,12,13,0
ICC-Absentee by Mail - 63,11,14,0
ICC-Absentee by Mail - 62,8,14,2
ICC-Absentee by Mail - 58,8,9,1
ICC-Absentee by Mail - 59,1,0,0
ICC-Absentee by Mail - 60,12,12,0
ICC-Absentee by Mail - 61,9,15,0
ICC-Absentee by Mail - 69,7,16,1
ICC-Absentee by Mail - 70,15,10,0
ICC-Absentee by Mail - 71,11,11,0
ICC-Absentee by Mail - 72,7,16,1
ICC-Absentee by Mail - 73,0,0,1
ICC-Absentee by Mail - 75,0,1,0
ICC-Absentee by Mail - 74,4,4,0
ED-02  ICP 1 - 0,35,211,9
ED-07  ICP 1 - 0,327,90,18
AV-Athletics Hall of Fame  ICP 2 - 0,2584,1718,115
ED-11  ICP 1 - 0,428,141,33
ED-09  ICP 1 - 0,442,46,21
ED-16  ICP 1 - 0,231,416,25
ED-14  ICP 1 - 0,377,131,18
ED-17  ICP 1 - 0,264,112,13
ED-21  ICP 1 - 0,510,190,30
ED-20  ICP 1 - 0,502,58,27
ED-08  ICP 1 - 0,295,112,19
ED-13  ICP 1 - 0,613,65,28
ED-19  ICP 1 - 0,460,166,28
ED-05  ICP 1 - 0,227,325,16
ED-06  ICP 1 - 0,63,199,12
ED-01  ICP 1 - 0,36,238,8
ED-12  ICP 1 - 0,490,65,20
ED-10  ICP 1 - 0,319,136,13
ED-03  ICP 1 - 0,411,104,22
AV-Athletics Hall of Fame  ICP 1 - 0,4584,2607,160
ICC-Absentee by Mail - 76,2,2,0
ICC-Provisional - 1,6,7,3
