Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,19,28,1
ICC-Absentee by Mail - 2,21,27,1
ICC-Absentee by Mail - 3,22,26,0
ICC-Absentee by Mail - 4,13,37,0
ICC-Absentee by Mail - 5,11,37,2
ICC-Absentee by Mail - 6,8,16,0
AV-Elections Office ICP 1 - 0,1493,454,49
ED-Faith Temple of Lincoln ICP 1 - 0,118,33,3
ED-Lincoln Center ICP 1 - 0,249,59,13
ED-Martins Crossroad ICP 1 - 0,296,37,9
ED-Midway ICP 1 - 0,131,33,16
ED-Lincoln Club House ICP 1 - 0,121,93,4
ED-Bethany Church ICP 1 - 0,125,14,7
ED-Tabernacle ICP 1 - 0,203,60,12
ICC-Provisional - 1,1,0,0
