Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV Byron - 0,2521,1085,110
ED-Claude ICP 1 - 0,227,27,12
AV-Elections Office - ICP 1 - 0,981,1711,57
ICC - Absentee by Mail - 1,7,40,2
ICC - Absentee by Mail - 2,10,39,1
ICC - Absentee by Mail - 3,17,30,1
ICC - Absentee by Mail - 4,20,30,1
ICC - Absentee by Mail - 5,12,37,1
ICC - Absentee by Mail - 6,13,34,0
ICC - Absentee by Mail - 7,18,31,1
ICC - Absentee by Mail - 8,17,30,2
ICC - Absentee by Mail - 9,19,30,0
ICC - Absentee by Mail - 10,12,35,4
ICC - Absentee by Mail - 11,16,28,1
ED-Fort Valley 1 ICP 1 - 0,184,225,13
ED-Byron 2 ICP 2 - 0,26,12,3
ED-Byron 2 ICP 1 - 0,471,227,24
ED-Fort Valley 3 ICP 2 - 0,57,211,6
ED-Byron 1 ICP 1 - 0,47,17,4
ED-Byron 1 ICP 2 - 0,286,80,10
ED-Powersville ICP 1 - 0,266,62,19
ED-Fort Valley 2 ICP 2 - 0,150,209,8
ICC - Provisional - 1,7,6,0
