Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office - ICP 1 - 0,1969,1712,65
ED-Sandersville ICP 1 - 0,241,266,9
ED-Sandersville ICP 2 - 0,262,236,16
ED-Harrison ICP 1 - 0,231,76,10
ED-Deepstep ICP 1 - 0,196,36,7
ED-Riddleville ICP 1 - 0,155,48,2
ED-Tennille ICP 1 - 0,264,285,3
ED-Oconee ICP 1 - 0,129,64,8
ED-Warthen ICP 1 - 0,178,84,8
ED-Davisboro ICP 1 - 0,176,101,5
ICC - Absentee by Mail - 9,3,3,0
ICC - Absentee by Mail - 15,17,6,0
ICC - Absentee by Mail - 16,13,34,0
ICC - Absentee by Mail - 17,18,28,0
ICC - Absentee by Mail - 18,18,54,0
ICC - Absentee by Mail - 10,5,4,0
ICC - Absentee by Mail - 14,12,11,0
ICC - Absentee by Mail - 12,5,18,1
ICC - Absentee by Mail - 11,20,14,0
ICC - Absentee by Mail - 13,16,49,0
ICC - Absentee by Mail - 2,1,6,0
ICC - Absentee by Mail - 8,4,13,0
ICC - Absentee by Mail - 6,10,30,0
ICC - Absentee by Mail - 7,7,43,1
ICC - Absentee by Mail - 19,9,67,0
ICC - Absentee by Mail - 20,1,20,0
ICC - Absentee by Mail - 5,3,12,0
ICC - Absentee by Mail - 3,10,10,0
ICC - Absentee by Mail - 4,11,16,0
ICC - Absentee by Mail - 21,15,34,0
ICC - Absentee by Mail - 22,4,2,0
ICC - Absentee by Mail - 1,7,20,3
ICC - Provisional - 1,1,2,0
