Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail 2 - 10,20,29,1
ICC-Absentee by Mail 2 - 11,21,28,0
ICC-Absentee by Mail 2 - 9,17,33,0
ICC-Absentee by Mail 2 - 12,15,33,1
ICC-Absentee by Mail 2 - 13,13,28,2
ICC-Absentee by Mail 2 - 2,19,31,0
ICC-Absentee by Mail 2 - 3,22,25,3
ICC-Absentee by Mail 2 - 4,20,29,0
ICC-Absentee by Mail 2 - 8,20,28,1
ICC-Absentee by Mail 2 - 7,23,26,0
ICC-Absentee by Mail 2 - 6,15,35,0
ICC-Absentee by Mail 2 - 5,19,31,0
ICC-Absentee by Mail 2 - 1,24,24,2
ICC-Absentee by Mail 2 - 25,22,23,1
ICC-Absentee by Mail 2 - 26,25,24,0
ICC-Absentee by Mail 2 - 24,26,19,4
ICC-Absentee by Mail 2 - 23,23,26,1
ICC-Absentee by Mail 2 - 46,26,19,0
ICC-Absentee by Mail 2 - 27,25,24,1
ICC-Absentee by Mail 2 - 28,33,17,0
ICC-Absentee by Mail 2 - 22,22,28,0
ICC-Absentee by Mail 2 - 21,29,21,0
ICC-Absentee by Mail 2 - 16,28,21,1
ICC-Absentee by Mail 2 - 15,20,27,3
ICC-Absentee by Mail 2 - 17,19,28,2
ICC-Absentee by Mail 2 - 18,35,14,1
ICC-Absentee by Mail 2 - 20,26,22,0
ICC-Absentee by Mail 2 - 19,18,32,0
ICC-Absentee by Mail 2 - 29,37,13,0
ICC-Absentee by Mail 2 - 30,17,32,1
ICC-Absentee by Mail 2 - 31,27,23,0
ICC-Absentee by Mail 2 - 41,30,18,1
ICC-Absentee by Mail 2 - 40,28,22,0
ICC-Absentee by Mail 2 - 42,20,28,0
ICC-Absentee by Mail 2 - 43,29,21,0
ICC-Absentee by Mail 2 - 45,15,13,0
ICC-Absentee by Mail 2 - 44,30,18,2
ICC-Absentee by Mail 2 - 39,28,22,0
ICC-Absentee by Mail 2 - 38,29,18,0
ICC-Absentee by Mail 2 - 33,21,26,1
ICC-Absentee by Mail 2 - 32,21,29,0
ICC-Absentee by Mail 2 - 34,26,23,1
ICC-Absentee by Mail 2 - 35,42,7,0
ICC-Absentee by Mail 2 - 37,29,19,1
ICC-Absentee by Mail 2 - 36,38,12,0
ICC-Absentee by Mail 2 - 14,12,38,0
AV-G3  ICP 3 - 0,5186,2381,221
AV-G3  ICP 1 - 0,5271,2318,211
AV-G3  ICP 2 - 0,5127,2437,212
ED-Eubank-Blanchard Ctr  ICP 1 - 0,396,66,13
ED-Blueridge Elementary  ICP 1 - 0,362,146,19
ED-Westside Bapt Church  ICP 1 - 0,357,87,25
ED-Stevens Creek Church - Grovetown  ICP 1 - 0,248,142,24
ED-New Life Church  ICP 1 - 0,139,44,5
ED-Liberty Park-Grovetown  ICP 1 - 0,419,247,25
ED-Harlem Branch Library  ICP 1 - 0,518,113,23
ED-Journey Comm Church  ICP 1 - 0,250,48,15
ED-Trinity Bapt Church  ICP 1 - 0,577,118,29
ED-Woodlawn Bapt Church  ICP 1 - 0,258,57,12
ED-Church of Our Savior  ICP 1 - 0,415,153,19
ED-Abilene Baptist  ICP 1 - 0,358,131,16
ED-Riverview Church  ICP 1 - 0,256,72,13
ED-Lewis Methodist  ICP 1 - 0,487,182,28
