Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee By Mail - 1,6,9,0
ICC-Absentee By Mail - 2,3,8,0
ICC-Absentee By Mail - 3,6,4,0
ICC-Absentee By Mail - 4,4,5,0
ICC-Absentee By Mail - 5,4,2,0
ICC-Absentee By Mail - 6,4,6,0
ICC-Absentee By Mail - 7,1,2,0
ICC-Absentee By Mail - 8,6,1,0
ICC-Absentee By Mail - 9,4,4,0
ICC-Absentee By Mail - 10,9,2,0
ICC-Absentee By Mail - 11,1,3,0
ICC-Absentee By Mail - 12,4,1,0
ICC-Absentee By Mail - 13,5,2,0
ICC-Absentee By Mail - 14,3,1,0
ICC-Absentee By Mail - 15,6,2,0
ICC-Absentee By Mail - 16,1,1,0
ICC-Absentee By Mail - 17,6,1,0
ICC-Absentee By Mail - 18,2,7,1
ICC-Absentee By Mail - 19,4,0,0
AV-Courthouse ICP 1 - 0,983,506,28
ED-North Jenkins Co VFD ICP 1 - 0,165,31,2
ED-South Jenkins Co VFD ICP 1 - 0,264,55,7
ED-Primary School-Courthouse-Senior Citizens Center ICP 1 - 0,336,181,12
ICC-Provisional - 1,2,0,0
