Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,14,6,1
ICC - Absentee By Mail - 6,14,5,0
ICC - Absentee By Mail - 7,16,5,0
ICC - Absentee By Mail - 5,21,6,1
ICC - Absentee By Mail - 4,16,16,1
ICC - Absentee By Mail - 2,8,20,1
ICC - Absentee By Mail - 3,3,17,0
ICC - Absentee By Mail - 8,3,0,0
ICC - Absentee By Mail - 10,1,0,0
ICC - Absentee By Mail - 11,6,7,0
ICC - Absentee By Mail - 9,22,11,3
ICC - Absentee By Mail - 17,2,5,1
ICC - Absentee By Mail - 15,9,3,0
ICC - Absentee By Mail - 16,9,4,0
ICC - Absentee By Mail - 12,24,13,0
ICC - Absentee By Mail - 14,14,13,0
ICC - Absentee By Mail - 13,11,8,0
ICC - Absentee By Mail - 18,23,24,0
ICC - Absentee By Mail - 22,11,4,0
ICC - Absentee By Mail - 21,19,10,0
ICC - Absentee By Mail - 19,30,16,1
ICC - Absentee By Mail - 20,4,4,0
ICC - Absentee By Mail - 23,25,14,1
ICC - Absentee By Mail - 24,11,20,2
ICC - Absentee By Mail - 27,2,2,0
ICC - Absentee By Mail - 26,13,5,0
ICC - Absentee By Mail - 25,16,19,0
ICC - Absentee By Mail - 28,18,1,0
ICC - Absentee By Mail - 29,27,23,0
ICC - Absentee By Mail - 33,2,1,0
ICC - Absentee By Mail - 30,14,7,1
ICC - Absentee By Mail - 32,9,0,0
ICC - Absentee By Mail - 31,8,7,0
ICC - Absentee By Mail - 34,2,9,0
ICC - Absentee By Mail - 37,1,2,0
ICC - Absentee By Mail - 38,5,0,0
ICC - Absentee By Mail - 35,9,10,1
ICC - Absentee By Mail - 39,8,8,0
ICC - Absentee By Mail - 36,9,11,0
ICC - Absentee By Mail - 48,0,3,0
ICC - Absentee By Mail - 67,1,1,0
ICC - Absentee By Mail - 49,3,3,0
ICC - Absentee By Mail - 50,21,12,2
ICC - Absentee By Mail - 51,3,5,0
ICC - Absentee By Mail - 52,2,1,0
ICC - Absentee By Mail - 47,16,7,0
ICC - Absentee By Mail - 46,3,0,0
ICC - Absentee By Mail - 41,5,9,0
ICC - Absentee By Mail - 42,3,0,0
ICC - Absentee By Mail - 43,9,5,0
ICC - Absentee By Mail - 44,1,7,0
ICC - Absentee By Mail - 45,2,0,1
ICC - Absentee By Mail - 53,2,0,0
ICC - Absentee By Mail - 54,1,1,0
ICC - Absentee By Mail - 62,4,0,0
ICC - Absentee By Mail - 63,1,0,0
ICC - Absentee By Mail - 64,1,0,0
ICC - Absentee By Mail - 65,3,4,0
ICC - Absentee By Mail - 66,6,2,0
ICC - Absentee By Mail - 61,4,4,0
ICC - Absentee By Mail - 60,7,3,1
