Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,669,713,14
ICC-Absentee By Mail - 1,9,14,0
ICC-Absentee By Mail - 2,8,19,0
ICC-Absentee By Mail - 3,8,20,1
ICC-Absentee By Mail - 4,11,17,0
ICC-Absentee By Mail - 5,7,20,0
ED-Turkey Creek ICP 1 - 0,165,54,3
ED-Midway ICP 1 - 0,56,153,4
ICC-Absentee By Mail - 6,4,24,0
ICC-Absentee By Mail - 7,8,21,0
ICC-Absentee By Mail - 8,10,18,0
ICC-Absentee By Mail - 9,12,18,0
ICC-Absentee By Mail - 10,4,13,0
ED-High Hill ICP 1 - 0,80,13,3
ICC-Absentee By Mail - 11,1,0,0
ICC-Absentee By Mail - 12,4,2,0
ED-Bloodworth ICP 1 - 0,213,7,8
ED-Irwinton ICP 1 - 0,116,79,5
ED-Lord ICP 1 - 0,178,93,6
ED-Ivey ICP 1 - 0,320,25,11
ED-Griffin ICP 1 - 0,84,16,1
ICC-Provisional - 1,0,1,0
ED-Ramah ICP 1 - 0,347,229,12
ICC-Absentee By Mail - 13,1,0,0
