Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,30,17,3
ICC - Absentee By Mail - 5,23,24,2
ICC - Absentee By Mail - 7,31,18,1
ICC - Absentee By Mail - 6,23,24,2
ICC - Absentee By Mail - 8,29,20,1
ICC - Absentee By Mail - 3,32,18,0
ICC - Absentee By Mail - 10,32,18,0
ICC - Absentee By Mail - 4,27,17,5
ICC - Absentee By Mail - 9,27,22,1
ICC - Absentee By Mail - 2,34,15,1
ICC - Absentee By Mail - 11,21,19,0
AV-Elections Office ICP 1 - 0,1848,445,67
ED-Aragon ICP 1 - 0,611,82,28
ED-Youngs Grove ICP 1 - 0,453,32,20
ED-Lake Creek ICP 1 - 0,563,63,32
ED-Rockmart ICP 1 - 0,783,190,41
ED-Cedartown ICP 2 - 0,577,205,33
ED-Blooming Grove ICP 1 - 0,361,32,9
ED-Fish Creek ICP 2 - 0,483,47,9
ED-Fish Creek ICP 1 - 0,77,10,0
AV-Rockmart Comm Center ICP 1 - 0,1694,409,66
AV-Rockmart Comm Center ICP 2 - 0,1166,224,47
AV-Elections Office ICP 2 - 0,1669,406,71
ICC - Provisional - 1,27,3,2
