Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,0,1,0
ICC - Absentee by Mail - 2,8,17,0
ICC - Absentee by Mail - 3,9,16,0
ICC - Absentee by Mail - 4,14,11,0
ICC - Absentee by Mail - 5,12,13,0
ICC - Absentee by Mail - 6,8,14,0
ICC - Absentee by Mail - 7,7,5,0
AV-Elections Office - ICP 1 - 0,727,226,21
AV-Elections Office - ICP 2 - 0,1075,291,23
ED-JSCC ICP 1 - 0,253,75,9
ED-JSCC ICP 2 - 0,251,74,12
ED-JSCC ICP 3 - 0,237,89,11
ICC - Provisional - 1,2,0,0
