Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,851,348,25
ED-Precinct 4 ICP 1 - 0,307,37,8
ED-Precinct 1 ICP 1 - 0,314,52,6
ED-Precinct 2 ICP 1 - 0,179,68,8
ED-Precinct 5 ICP 1 - 0,441,20,29
ED-Precinct 3 ICP 1 - 0,47,127,4
Absentee By Mail ICC - 1,22,9,0
Absentee By Mail ICC - 2,18,14,1
Absentee By Mail ICC - 3,13,5,1
Absentee By Mail ICC - 4,10,12,1
Absentee By Mail ICC - 5,5,8,0
Absentee By Mail ICC - 6,2,0,0
Provisional ICC - 1,1,0,0
