Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,31,18,1
ICC - Absentee By Mail - 2,36,13,0
ICC - Absentee By Mail - 3,34,13,1
ICC - Absentee By Mail - 4,34,13,0
ICC - Absentee By Mail - 5,30,18,2
ICC - Absentee By Mail - 6,22,6,1
AV-Murray Co Rec Center ICP 1 - 0,2248,227,90
AV-Murray Co Rec Center ICP 2 - 0,2159,256,70
ED-McDonald ICP 1 - 0,496,56,17
ED-Carters-Doolittle ICP 1 - 0,566,43,21
ED-North ICP 1 - 0,652,51,22
ED-Spring Place ICP 1 - 0,797,114,29
ED-Southwest ICP 1 - 0,830,60,23
ED-Shuck Pen ICP 1 - 0,797,96,34
ED-Town ICP 1 - 0,402,67,23
ICC - Election Day - 1,151,16,3
ICC - Election Day - 2,102,8,5
ICC - Election Day - 3,127,7,9
ICC - Election Day - 4,139,14,4
ICC - Election Day - 5,165,17,8
ICC - Election Day - 6,8,2,1
ICC - Election Day - 7,0,1,0
ICC - Absentee By Mail - 7,1,0,0
