Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,3,16,1
ICC - Absentee by Mail - 2,4,16,1
ICC - Absentee by Mail - 3,2,18,0
ICC - Absentee by Mail - 4,4,16,0
ICC - Absentee by Mail - 5,2,18,0
ICC - Absentee by Mail - 6,5,15,0
ICC - Absentee by Mail - 7,4,16,0
ICC - Absentee by Mail - 8,6,13,0
ICC - Absentee by Mail - 9,2,17,1
ICC - Absentee by Mail - 10,6,14,0
ICC - Absentee by Mail - 11,2,17,1
ICC - Absentee by Mail - 12,1,19,0
ICC - Absentee by Mail - 13,4,15,0
ICC - Absentee by Mail - 14,1,18,1
ICC - Absentee by Mail - 15,5,6,0
ICC - Absentee by Mail - 16,1,8,1
ICC - Absentee by Mail - 17,2,10,0
ICC - Absentee by Mail - 18,2,10,0
AV-Elections Office - ICP 1 - 0,762,650,30
ICC - Absentee by Mail - 19,2,5,1
ED-ShadyGroveTarvers ICP 1 - 0,123,74,10
ED-JeffersonWare ICP 1 - 0,143,167,9
ED-Dry Branch ICP 1 - 0,365,52,25
ED-Higgsville ICP 1 - 0,193,44,8
ED-Golden Isles ICP 1 - 0,228,224,13
ICC - Provisional - 1,0,5,0
