Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,8,16,1
ICC-Absentee by Mail - 2,14,11,0
ICC-Absentee by Mail - 3,1,24,0
ICC-Absentee by Mail - 4,6,19,0
ICC-Absentee by Mail - 5,11,14,0
ICC-Absentee by Mail - 6,17,7,1
ICC-Absentee by Mail - 7,5,20,0
ICC-Absentee by Mail - 8,10,15,0
ICC-Absentee by Mail - 9,2,23,0
ICC-Absentee by Mail - 10,7,18,0
ICC-Absentee by Mail - 11,11,14,0
ICC-Absentee by Mail - 12,9,14,0
ICC-Absentee by Mail - 13,5,18,0
ICC-Absentee by Mail - 14,10,15,0
ICC-Absentee by Mail - 15,9,13,2
ICC-Absentee by Mail - 16,13,12,0
ICC-Absentee by Mail - 17,9,16,0
ICC-Absentee by Mail - 18,14,11,0
ICC-Absentee by Mail - 19,8,17,0
ICC-Absentee by Mail - 20,12,12,1
ICC-Absentee by Mail - 21,5,20,0
ICC-Absentee by Mail - 22,16,7,1
ICC-Absentee by Mail - 23,5,20,0
ICC-Absentee by Mail - 24,8,17,0
ICC-Absentee by Mail - 25,3,21,1
ICC-Absentee by Mail - 26,9,15,1
ICC-Absentee by Mail - 27,9,14,0
AV-Dearing Comm Center ICP 1 - 0,773,256,28
AV-Precinct on Main ICP 1 - 0,990,626,30
AV-Precinct on Main ICP 3 - 0,491,195,16
AV-Precinct on Main ICP 2 - 0,1033,584,35
ICC-Absentee by Mail - 28,5,12,2
ICC-Absentee by Mail - 29,6,4,0
Dearing-Fort Creek ICP 1 - 0,533,88,26
NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 3 - 0,269,141,19
NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 1 - 0,389,257,28
NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 2 - 0,425,233,23
ICC-Absentee by Mail - 30,1,3,0
