Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office - ICP 1 - 0,932,278,41
AV-Elections Office - ICP 2 - 0,645,234,30
ED-Courthouse Annex - ICP 1 - 0,487,157,33
ED-Courthouse Annex - ICP 2 - 0,181,58,10
ICC - Absentee by Mail - 3,24,25,1
ICC - Absentee by Mail - 4,11,14,0
ICC - Absentee by Mail - 5,13,12,0
ICC - Absentee by Mail - 6,10,12,2
ICC - Absentee by Mail - 7,11,14,0
ICC - Absentee by Mail - 8,9,11,0
ICC - Absentee by Mail - 9,29,20,0
ICC - Provisional - 1,0,1,1
ICC - Absentee by Mail - 10,1,0,0
