Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,2131,746,82
ED-Chauncey ICP 1 - 0,136,28,8
ED-Clark ICP 1 - 0,42,0,2
ED-Eddin ICP 1 - 0,221,58,6
ED-Empire ICP 1 - 0,130,10,5
ED-Jaybird ICP 1 - 0,57,21,2
ED-Jones ICP 1 - 0,138,11,5
ED-McCranie ICP 1 - 0,117,8,2
ED-Mullis ICP 1 - 0,194,26,3
ED-Milan ICP 1 - 0,117,19,3
ED-Mitchell ICP 1 - 0,130,13,5
ED-Plainfield ICP 1 - 0,153,11,5
ED-Pondtown ICP 1 - 0,227,39,5
ED-Rawlins ICP 1 - 0,170,32,7
ED-Vilula ICP 1 - 0,97,0,1
ED-Yonker ICP 1 - 0,126,8,1
ED-Lee ICP 1 - 0,475,228,24
ICC-Absentee By Mail - 1,4,21,0
ICC-Absentee By Mail - 2,0,3,0
ICC-Absentee By Mail - 3,13,10,0
ICC-Absentee By Mail - 4,10,15,0
ICC-Absentee By Mail - 5,15,10,0
ICC-Absentee By Mail - 6,15,10,0
ICC-Absentee By Mail - 7,18,6,1
ICC-Absentee By Mail - 8,18,6,0
ICC-Absentee By Mail - 9,10,11,3
ICC-Absentee By Mail - 10,13,12,0
ICC-Absentee By Mail - 11,13,12,0
ICC-Absentee By Mail - 12,14,10,1
ICC-Absentee By Mail - 13,19,6,0
ICC-Absentee By Mail - 14,11,14,0
ICC-Absentee By Mail - 15,11,14,0
ICC-Absentee By Mail - 16,15,9,1
ICC-Provisional - 1,1,0,0
