Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail 1 - 1,8,39,2
ICC-Absentee by Mail 3 - 1,30,20,0
ICC-Absentee by Mail 2 - 1,2,45,1
ICC-Absentee by Mail 4 - 1,5,44,1
ICC-Absentee by Mail 1 - 2,21,26,3
ICC-Absentee by Mail 2 - 2,8,42,0
ICC-Absentee by Mail 3 - 2,20,30,0
ICC-Absentee by Mail 4 - 2,12,36,2
ICC-Absentee by Mail 1 - 3,15,34,1
ICC-Absentee by Mail 2 - 3,12,35,0
ICC-Absentee by Mail 3 - 3,6,44,0
ICC-Absentee by Mail 4 - 3,16,19,0
ICC-Absentee by Mail 2 - 4,2,48,0
ICC-Absentee by Mail 3 - 4,11,37,0
ICC-Absentee by Mail 1 - 4,7,43,0
ICC-Absentee by Mail 4 - 4,4,46,0
ICC-Absentee by Mail 4 - 5,6,41,1
ICC-Absentee by Mail 2 - 5,12,37,0
ICC-Absentee by Mail 1 - 5,10,40,0
ICC-Absentee by Mail 3 - 5,23,28,0
ICC-Absentee by Mail 1 - 6,5,45,0
ICC-Absentee by Mail 4 - 6,10,37,3
ICC-Absentee by Mail 2 - 6,8,19,0
ICC-Absentee by Mail 4 - 7,14,28,1
ICC-Absentee by Mail 1 - 7,26,21,1
ICC-Absentee by Mail 2 - 7,17,33,0
ICC-Absentee by Mail 4 - 8,13,35,0
ICC-Absentee by Mail 3 - 6,1,8,1
ICC-Absentee by Mail 1 - 8,12,37,0
ICC-Absentee by Mail 3 - 7,3,47,0
ICC-Absentee by Mail 4 - 9,17,33,0
ICC-Absentee by Mail 2 - 8,10,37,1
ICC-Absentee by Mail 1 - 9,9,41,0
ICC-Absentee by Mail 2 - 9,18,29,0
ICC-Absentee by Mail 3 - 8,9,38,2
ICC-Absentee by Mail 4 - 10,24,24,0
ICC-Absentee by Mail 3 - 9,27,23,0
ICC-Absentee by Mail 1 - 10,6,44,0
ICC-Absentee by Mail 2 - 10,9,41,0
ICC-Absentee by Mail 3 - 10,13,37,0
ICC-Absentee by Mail 1 - 11,5,44,0
ICC-Absentee by Mail 3 - 11,7,42,0
ICC-Absentee by Mail 1 - 12,6,44,0
ICC-Absentee by Mail 4 - 11,9,38,1
ICC-Absentee by Mail 3 - 12,15,35,0
ICC-Absentee by Mail 1 - 13,26,24,0
ICC-Absentee by Mail 2 - 11,2,48,0
ICC-Absentee by Mail 1 - 14,27,20,2
ICC-Absentee by Mail 3 - 13,7,43,0
ICC-Absentee by Mail 4 - 12,23,26,1
ICC-Absentee by Mail 4 - 13,28,21,0
ICC-Absentee by Mail 2 - 12,12,35,1
ICC-Absentee by Mail 3 - 14,4,45,0
ICC-Absentee by Mail 4 - 14,16,34,0
ICC-Absentee by Mail 2 - 13,9,39,1
ICC-Absentee by Mail 2 - 14,6,44,0
ICC-Absentee by Mail 1 - 15,21,27,1
ICC-Absentee by Mail 2 - 15,5,45,0
ICC-Absentee by Mail 4 - 15,5,45,0
ICC-Absentee by Mail 3 - 15,10,40,0
ICC-Absentee by Mail 1 - 16,24,25,0
ICC-Absentee by Mail 3 - 16,16,32,1
ICC-Absentee by Mail 4 - 16,15,35,0
ICC-Absentee by Mail 2 - 16,6,43,0
ICC-Absentee by Mail 1 - 17,8,42,0
ICC-Absentee by Mail 2 - 17,9,40,0
ICC-Absentee by Mail 3 - 17,10,39,0
ICC-Absentee by Mail 4 - 17,6,42,0
ICC-Absentee by Mail 1 - 18,0,1,0
ICC-Absentee by Mail 2 - 18,1,10,0
ICC-Absentee by Mail 3 - 18,4,11,0
ICC-Absentee by Mail 4 - 18,4,45,1
ICC-Absentee by Mail 4 - 19,10,41,0
ICC-Absentee by Mail 2 - 19,9,41,1
ICC-Absentee by Mail 1 - 19,6,10,0
ICC-Absentee by Mail 3 - 19,17,32,0
ICC-Absentee by Mail 4 - 20,9,40,1
ICC-Absentee by Mail 2 - 20,24,31,0
ICC-Absentee by Mail 1 - 20,9,29,0
ICC-Absentee by Mail 3 - 20,17,29,1
ICC-Absentee by Mail 1 - 21,11,38,2
ICC-Absentee by Mail 2 - 21,4,47,0
ICC-Absentee by Mail 3 - 21,3,9,0
ICC-Absentee by Mail 4 - 21,7,39,4
ICC-Absentee by Mail 1 - 22,4,46,0
ICC-Absentee by Mail 2 - 22,5,43,2
ICC-Absentee by Mail 4 - 22,7,14,0
ICC-Absentee by Mail 3 - 22,22,33,2
ICC-Absentee by Mail 1 - 23,8,41,0
ICC-Absentee by Mail 4 - 23,6,44,0
ICC-Absentee by Mail 1 - 24,7,5,0
ICC-Absentee by Mail 2 - 23,6,17,0
ICC-Absentee by Mail 2 - 24,6,7,0
ICC-Absentee by Mail 3 - 23,19,31,1
ICC-Absentee by Mail 4 - 24,11,37,1
ICC-Absentee by Mail 3 - 24,6,42,1
ICC-Absentee by Mail 1 - 25,20,27,2
ICC-Absentee by Mail 1 - 26,12,43,0
ICC-Absentee by Mail 2 - 25,12,37,0
ICC-Absentee by Mail 4 - 25,17,33,0
ICC-Absentee by Mail 2 - 26,8,44,2
ICC-Absentee by Mail 4 - 26,5,10,0
ICC-Absentee by Mail 3 - 25,18,29,2
ICC-Absentee by Mail 3 - 26,2,1,0
AV-Warren Road Rec Center ICP 2 - 0,1821,1300,61
AV-Warren Road Rec Center ICP 1 - 0,1697,1330,86
AV-Elections Office  ICP 2 - 0,1531,4799,90
AV-Elections Office  ICP 1 - 0,1476,4706,78
AV-Robert Howard Comm Ctr  ICP 2 - 0,683,2528,52
AV-Robert Howard Comm Ctr  ICP 1 - 0,755,2609,48
AV-Henry Brigham Center ICP 2 - 0,311,2552,26
AV-Henry Brigham Center ICP 1 - 0,306,2143,35
ICC-Absentee by Mail 1 - 27,18,29,3
ICC-Absentee by Mail 2 - 27,17,33,1
ICC-Absentee by Mail 3 - 27,2,13,0
ED-Building Worship Center  ICP 1 - 0,138,255,17
ED-Warren Road Rec Center ICP 1 - 0,457,179,22
ED-Paine College-Heal Complex  ICP 1 - 0,86,188,14
ED-Henry Brigham Center ICP 1 - 0,100,342,14
ED-Augusta Deliverance  ICP 1 - 0,20,239,10
ED-Asbury Methodist  ICP 1 - 0,507,355,37
ED-First Baptist  ICP 1 - 0,470,465,26
ED-E Cent Reg Hosp-Gracewood  ICP 1 - 0,245,339,21
ED-Pine Hill Baptist  ICP 1 - 0,621,236,30
ED-Mt Calvary Baptist  ICP 1 - 0,22,317,4
ED-McDuffie Woods Comm Center  ICP 1 - 0,56,417,16
ED-Kroc Center  ICP 1 - 0,71,100,5
ED-Carrie J. Mays  ICP 1 - 0,41,290,11
ED-Friedman Branch Library  ICP 1 - 0,94,263,14
ED-Blythe Community Center  ICP 1 - 0,328,187,21
ED-Windsor Spring Baptist  ICP 1 - 0,119,476,11
ED-Sharon Baptist  ICP 1 - 0,144,507,15
ED-Gracewood Comm Center  ICP 1 - 0,93,569,10
ED-Aldersgate  ICP 1 - 0,513,190,25
ED-Augusta Aquatics Center  ICP 1 - 0,429,230,21
ED-Burns Memorial UMC  ICP 1 - 0,496,270,30
ED-National Hills Baptist  ICP 1 - 0,501,436,31
ED-New Zion Hill MBC  ICP 1 - 0,85,383,11
ED-Heph-Carroll Comm Center  ICP 1 - 0,592,288,26
ED-Wallace Branch Library  ICP 1 - 0,9,203,1
ED-Southside Baptist  ICP 1 - 0,314,394,21
ED-Stevens Creek Church  ICP 1 - 0,329,422,23
ED-Eastview Rec Center  ICP 1 - 0,52,431,10
ED-St Mark UMC  ICP 1 - 0,430,183,22
ED-Jamestown Comm Center  ICP 2 - 0,80,253,12
ED-Jamestown Comm Center  ICP 1 - 0,112,327,11
ED-Julian Smith Casino  ICP 1 - 0,697,426,41
ED-Trinity CME Church  ICP 1 - 0,88,586,14
ED-Robert Howard Comm Ctr ICP 2 - 0,51,239,9
ED-May Park Rec Center  ICP 1 - 0,82,194,13
ED-Providence Baptist  ICP 2 - 0,134,317,10
ED-Providence Baptist  ICP 1 - 0,212,437,15
ED-St Augustines Episcopal  ICP 1 - 0,393,161,18
ED-McBean Comm Center  ICP 1 - 0,773,241,21
ED-Blythe City Hall  ICP 1 - 0,237,53,14
ED-Bernie Ward Comm Center  ICP 1 - 0,152,271,11
ED-Bernie Ward Comm Center  ICP 2 - 0,194,283,14
ED-Vineyard Church ICP 1 - 0,260,269,20
ED-Covenant Presbyterian  ICP 1 - 0,623,261,21
ED-Cross Creek High School  ICP 1 - 0,424,244,17
ED-Mann-Mize Methodist  ICP 1 - 0,114,313,10
ED-Robert Howard Comm Ctr ICP 1 - 0,69,426,5
ICC-Absentee by Mail 1 - 29,1,10,0
ICC-Provisional 1 - 1,1,2,0
ICC-Absentee by Mail 4 - 27,2,19,0
ICC-Provisional 1 - 2,5,28,2
