Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,5527,1952,207
ED-Pine Mountain Valley ICP 1 - 0,387,35,16
ED-Cataula ICP 1 - 0,734,120,25
ED-Waverly Hall ICP 1 - 0,654,178,34
ED-Ellerslie ICP 1 - 0,1028,212,40
ED-Whitesville ICP 1 - 0,412,70,14
ED-Hamilton ICP 1 - 0,431,116,28
ED-Skinner ICP 1 - 0,312,132,13
ED-Valley Plains ICP 1 - 0,221,76,9
ED-Goodman ICP 1 - 0,340,131,22
ED-Mulberry Grove ICP 1 - 0,764,107,30
ED-Upper 19th ICP 1 - 0,530,54,24
ED-Lower 19th ICP 1 - 0,802,96,30
ICC - Absentee By Mail - 1,7,8,0
ICC - Absentee By Mail - 2,4,2,0
ICC - Absentee By Mail - 3,5,4,0
ICC - Absentee By Mail - 4,13,12,0
ICC - Absentee By Mail - 5,15,10,0
ICC - Absentee By Mail - 6,5,16,1
ICC - Absentee By Mail - 7,15,9,0
ICC - Absentee By Mail - 8,11,13,0
ICC - Absentee By Mail - 9,13,9,1
ICC - Absentee By Mail - 10,16,7,2
ICC - Absentee By Mail - 11,16,9,0
ICC - Absentee By Mail - 12,11,14,0
ICC - Absentee By Mail - 13,15,9,0
ICC - Absentee By Mail - 14,10,15,0
ICC - Absentee By Mail - 15,11,13,0
ICC - Absentee By Mail - 16,16,9,0
ICC - Absentee By Mail - 17,14,9,1
ICC - Absentee By Mail - 18,18,7,0
ICC - Absentee By Mail - 19,11,12,1
ICC - Absentee By Mail - 20,14,9,2
ICC - Absentee By Mail - 21,15,9,0
ICC - Absentee By Mail - 22,12,12,1
ICC - Absentee By Mail - 23,14,7,3
ICC - Absentee By Mail - 24,17,8,0
ICC - Absentee By Mail - 25,18,6,0
ICC - Absentee By Mail - 26,8,15,2
ICC - Absentee By Mail - 27,5,20,0
ICC - Absentee By Mail - 28,9,15,0
ICC - Absentee By Mail - 29,8,16,0
ICC - Absentee By Mail - 30,14,11,0
ICC - Absentee By Mail - 31,9,14,1
ICC - Absentee By Mail - 32,15,11,0
ICC - Absentee By Mail - 33,15,9,0
ICC - Absentee By Mail - 34,12,13,0
ICC - Absentee By Mail - 35,13,11,1
ICC - Absentee By Mail - 36,17,6,1
ICC - Absentee By Mail - 37,11,13,0
ICC - Absentee By Mail - 38,14,10,1
ICC - Absentee By Mail - 39,16,9,0
ICC - Absentee By Mail - 40,1,2,0
ICC - Absentee By Mail - 41,0,0,0
ICC - Provisional - 1,4,0,0
