Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,2,14,0
ICC - Absentee By Mail - 2,18,33,0
ICC - Absentee By Mail - 3,23,28,0
ICC - Absentee By Mail - 4,23,25,0
ICC - Absentee By Mail - 5,24,27,0
ICC - Absentee By Mail - 6,13,36,1
ICC - Absentee By Mail - 7,14,47,1
ICC - Absentee By Mail - 8,17,30,3
ICC - Absentee By Mail - 9,14,36,0
ICC - Absentee By Mail - 10,20,30,0
ICC - Absentee By Mail - 11,30,19,1
ICC - Absentee By Mail - 12,24,22,1
ICC - Absentee By Mail - 13,36,12,1
ICC - Absentee By Mail - 14,8,42,0
ICC - Absentee By Mail - 15,18,32,0
ICC - Absentee By Mail - 16,23,27,0
ICC - Absentee By Mail - 17,16,33,1
ICC - Absentee By Mail - 18,13,36,0
ICC - Absentee By Mail - 19,28,20,0
ICC - Absentee By Mail - 20,11,38,1
ICC - Absentee By Mail - 21,9,40,0
ICC - Absentee By Mail - 22,35,13,2
ICC - Absentee By Mail - 23,23,27,0
ICC - Absentee By Mail - 24,32,17,1
ICC - Absentee By Mail - 25,26,22,0
ICC - Absentee By Mail - 26,13,37,0
ICC - Absentee By Mail - 27,19,30,0
ICC - Absentee By Mail - 28,38,9,3
ICC - Absentee By Mail - 29,34,14,0
ICC - Absentee By Mail - 30,19,29,2
ICC - Absentee By Mail - 31,21,27,2
ICC - Absentee By Mail - 32,18,32,0
AV-Fayette Public Library ICP 1 - 0,3679,3858,171
ICC - Absentee By Mail - 33,21,23,5
ICC - Absentee By Mail - 34,30,17,3
ICC - Absentee By Mail - 35,15,31,4
ICC - Absentee By Mail - 36,20,24,3
ICC - Absentee By Mail - 37,34,16,0
AV-Tyrone Rec Office ICP 1 - 0,3688,2360,168
AV-Peachtree City Library ICP 1 - 0,6281,2865,259
AV-Peachtree City Library ICP 2 - 0,2174,1014,108
AV-Elections Office ICP 1 - 0,3277,4982,145
AV-Elections Office ICP 2 - 0,1083,1555,47
ED-Willowbend ICP 1 - 0,285,103,23
ED-Flat Creek ICP 1 - 0,271,137,23
ED-Fayetteville West ICP 1 - 0,161,163,17
ED-Oak Ridge ICP 1 - 0,227,208,17
ED-Camp Creek ICP 1 - 0,325,91,17
ED-Shakerag West ICP 1 - 0,153,54,17
ED-Shakerag East ICP 1 - 0,313,118,17
ED-Fielding Ridge ICP 1 - 0,483,198,28
ED-Europe ICP 1 - 0,97,378,15
ED-Brooks ICP 1 - 0,856,73,55
ED-Harps Crossing ICP 1 - 0,316,112,23
ED-Rareover ICP 1 - 0,326,116,22
ICC - Absentee By Mail - 38,5,3,0
ICC - Absentee By Mail - 39,22,26,0
ICC - Absentee By Mail - 40,28,19,1
ICC - Absentee By Mail - 41,0,1,1
ICC - Absentee By Mail - 42,17,27,3
ICC - Absentee By Mail - 43,24,26,0
ICC - Absentee By Mail - 44,2,7,0
ICC - Absentee By Mail - 45,21,28,1
ICC - Absentee By Mail - 46,20,28,1
ICC - Absentee By Mail - 47,23,27,0
ICC - Absentee By Mail - 48,16,36,1
ICC - Absentee By Mail - 49,5,6,2
ICC - Absentee By Mail - 50,28,21,1
ICC - Absentee By Mail - 51,10,19,0
ICC - Absentee By Mail - 52,14,36,0
ICC - Absentee By Mail - 53,23,24,2
ICC - Absentee By Mail - 54,29,20,1
ICC - Absentee By Mail - 55,26,23,1
ICC - Absentee By Mail - 56,19,28,2
ICC - Absentee By Mail - 57,9,22,0
ICC - Absentee By Mail - 58,23,26,0
ICC - Absentee By Mail - 59,13,36,1
ICC - Absentee By Mail - 60,23,25,0
ICC - Absentee By Mail - 61,17,33,0
ICC - Absentee By Mail - 62,16,31,2
ICC - Absentee By Mail - 63,19,29,1
ICC - Absentee By Mail - 64,23,27,0
ICC - Absentee By Mail - 65,27,22,1
ICC - Absentee By Mail - 66,30,19,0
ED-Willow Pond ICP 1 - 0,353,233,21
ED-Dogwood ICP 1 - 0,443,197,30
ED-Rising Star ICP 1 - 0,707,142,31
ED-Oak Grove ICP 1 - 0,270,97,14
ED-Aberdeen ICP 1 - 0,276,89,25
ED-Jeff Davis ICP 1 - 0,145,212,15
ED-Woolsey ICP 1 - 0,630,109,24
ED-Braelinn ICP 1 - 0,397,67,15
ED-Kedron ICP 1 - 0,657,359,48
ED-Sandy Creek ICP 1 - 0,324,387,39
ED-Flint ICP 1 - 0,165,173,6
ED-Spring Hill ICP 1 - 0,245,219,19
ED-Murphy ICP 1 - 0,330,282,20
ED-Antioch ICP 1 - 0,365,112,26
ICC - Absentee By Mail - 67,19,30,1
ED-Fayetteville East ICP 1 - 0,129,156,18
ED-McIntosh ICP 1 - 0,441,136,32
ED-Banks ICP 1 - 0,157,167,13
ICC - Absentee By Mail - 68,20,29,1
ED-Morning Creek ICP 1 - 0,216,272,24
ED-Hopeful ICP 1 - 0,196,230,19
ICC - Absentee By Mail - 69,28,20,1
ICC - Absentee By Mail - 70,24,26,0
ICC - Absentee By Mail - 71,28,19,2
ED-Blackrock ICP 1 - 0,150,227,5
ED-Starrsmill ICP 1 - 0,636,120,45
ED-Windgate ICP 1 - 0,206,75,25
ED-Kenwood ICP 1 - 0,66,141,7
ED-Whitewater ICP 1 - 0,575,148,26
ICC - Absentee By Mail - 72,2,5,0
ICC - Provisional - 1,4,6,0
ICC - Provisional - 2,9,12,0
ICC - Absentee By Mail - 73,6,8,0
