Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,41,8,0
ICC - Absentee By Mail - 2,34,9,4
ICC - Absentee By Mail - 3,35,15,0
ICC - Absentee By Mail - 4,38,9,3
ICC - Absentee By Mail - 5,43,7,1
AV-Elections Office ICP 1 - 0,4187,593,182
ICC - Absentee By Mail - 6,28,19,1
ED-Buchanan ICP 1 - 0,527,40,33
ICC - Absentee By Mail - 7,35,13,2
ICC - Absentee By Mail - 8,31,17,0
ICC - Absentee By Mail - 9,41,9,1
ED-Mt View ICP 1 - 0,153,9,4
ED-Seventh ICP 1 - 0,484,37,23
ED-Little Creek ICP 1 - 0,297,18,15
ED-Berea-Steadman ICP 1 - 0,241,10,6
ED-Felton ICP 1 - 0,131,3,7
ED-Corinth ICP 1 - 0,486,23,19
ED-Tallapoosa ICP 1 - 0,672,97,35
ED-Twentieth ICP 1 - 0,273,15,9
ED-Buncombe ICP 1 - 0,305,30,8
ICC - Absentee By Mail - 10,16,7,3
ED-Waco ICP 1 - 0,350,31,14
ED-Bremen ICP 2 - 0,609,92,34
ED-Bremen ICP 1 - 0,811,81,34
ICC - Absentee By Mail - 11,3,0,0
