Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office - ICP 1 - 0,2558,572,83
ED-1B ICP 1 - 0,347,26,10
ED-1C ICP 1 - 0,243,15,10
ED-2  ICP 1 - 0,199,175,8
ED-3A1 ICP 1 - 0,279,6,3
ED-3C ICP 1 - 0,264,49,18
ICC - Absentee by Mail - 1,12,11,2
ICC - Absentee by Mail - 2,16,9,0
ICC - Absentee by Mail - 3,15,6,0
ICC - Absentee by Mail - 4,22,1,0
ICC - Absentee by Mail - 5,18,3,0
ICC - Absentee by Mail - 6,12,1,1
ICC - Absentee by Mail - 7,17,7,0
ICC - Absentee by Mail - 8,24,0,0
ICC - Absentee by Mail - 9,4,0,0
ICC - Absentee by Mail - 10,7,17,0
ICC - Absentee by Mail - 11,0,1,0
ICC - Absentee by Mail - 12,6,18,1
ICC - Absentee by Mail - 13,7,19,0
ICC - Absentee by Mail - 14,20,5,0
ICC - Absentee by Mail - 15,21,4,0
ICC - Absentee by Mail - 16,5,20,0
ICC - Absentee by Mail - 17,17,0,1
ICC - Absentee by Mail - 18,23,2,1
ICC - Absentee by Mail - 19,4,5,1
ED-4B ICP 1 - 0,354,7,14
ED-4D ICP 1 - 0,342,17,6
ED-5A ICP 1 - 0,261,18,2
ED-5B ICP 1 - 0,260,20,9
ICC - Provisional - 1,1,0,0
