Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Powder Springs ICP 1 - 0,1395,3784,97
AV-Powder Springs ICP 2 - 0,1408,3719,93
AV-East Cobb Gov't Ctr  ICP 1 - 0,4392,3490,204
AV-East Cobb Gov't Ctr  ICP 3 - 0,2565,1980,98
AV-East Cobb Gov't Ctr  ICP 4 - 0,2290,1845,101
AV-East Cobb Gov't Ctr  ICP 2 - 0,3730,2849,177
AV-Southwest  ICP 1 - 0,406,1186,37
AV-Southwest  ICP 2 - 0,462,1230,37
AV-North  ICP 2 - 0,3259,2577,192
AV-North  ICP 1 - 0,3332,2854,164
AV-Ward Rec Ctr ICP 1 - 0,5526,3156,242
AV-Ward Rec Ctr ICP 2 - 0,3932,2256,152
AV-Smyrna  ICP 3 - 0,1477,2866,114
AV-Smyrna  ICP 1 - 0,2145,4022,105
AV-Smyrna  ICP 4 - 0,1955,3596,135
AV-Smyrna  ICP 2 - 0,2935,5313,146
AV-Central  ICP 2 - 0,711,1251,46
AV-Central  ICP 1 - 0,549,915,38
AV-South  ICP 1 - 0,175,1258,17
AV-South  ICP 2 - 0,374,2639,42
AV-Main 2  ICP 1 - 0,1514,1773,84
AV-Kennesaw  ICP 1 - 0,3467,3516,211
AV-Kennesaw  ICP 2 - 0,2621,2868,155
AV-Main Office  ICP 1 - 0,2293,3997,163
AV-Main Office  ICP 2 - 0,3579,5883,211
AV-Mableton  ICP 1 - 0,1761,5382,155
AV-Mableton  ICP 2 - 0,1610,4834,130
AV-Northeast  ICP 1 - 0,3918,2740,171
AV-Northeast  ICP 3 - 0,2515,1870,135
AV-Northeast  ICP 4 - 0,2747,2077,142
ED-Marietta 3B  ICP 1 - 0,88,240,8
AV-West Cobb Library  ICP 1 - 0,3816,1800,163
AV-West Cobb Library  ICP 2 - 0,3750,1842,177
ED-Bells Ferry 03  ICP 1 - 0,315,209,32
ED-Pope 01  ICP 1 - 0,364,184,33
ED-McCleskey 01  ICP 1 - 0,353,149,14
ED-Lassiter 01  ICP 1 - 0,541,248,41
ED-Sope Creek 01  ICP 1 - 0,413,189,19
ED-Kell 01  ICP 1 - 0,388,200,31
ED-Eastside 02  ICP 1 - 0,580,260,41
ED-Lost Mountain 01  ICP 1 - 0,313,159,36
ED-Bells Ferry 02  ICP 1 - 0,473,267,50
ED-Murdock 01  ICP 1 - 0,654,315,52
ED-Blackwell 01  ICP 1 - 0,349,267,40
ED-Dickerson 01  ICP 1 - 0,519,210,25
ED-Garrison Mill 01  ICP 1 - 0,446,204,43
ED-Elizabeth 04  ICP 1 - 0,360,327,25
ED-Fullers Park 01  ICP 1 - 0,598,284,42
ED-Marietta 4B  ICP 1 - 0,301,174,23
ED-Chestnut Ridge 01  ICP 1 - 0,588,220,33
ED-Dobbins 02  ICP 1 - 0,250,383,18
ED-Dodgen 01  ICP 1 - 0,464,184,18
ED-Timber Ridge 01  ICP 1 - 0,473,213,17
ED-East Piedmont 01  ICP 1 - 0,347,269,30
ED-Smyrna 2A  ICP 2 - 0,115,234,13
ED-Smyrna 2A  ICP 1 - 0,138,322,20
ED-Marietta 4C  ICP 1 - 0,516,194,25
ED-Roswell 01  ICP 2 - 0,463,198,26
ED-Smyrna 1A  ICP 1 - 0,240,522,32
ED-Roswell 01  ICP 1 - 0,442,193,32
ED-Cheatham Hill 02  ICP 1 - 0,515,181,21
ED-Big Shanty 01  ICP 1 - 0,283,164,26
ED-Palmer 01  ICP 1 - 0,389,193,30
ED-Mt Bethel 01  ICP 1 - 0,678,267,46
ED-Vinings 03  ICP 1 - 0,335,363,32
ED-Smyrna 4A  ICP 1 - 0,344,317,21
ED-Riverside 01  ICP 1 - 0,38,204,3
ED-Smyrna 4A  ICP 2 - 0,231,216,15
ED-Frey 01  ICP 1 - 0,323,106,23
ED-Harrison 01  ICP 1 - 0,476,160,43
ED-Elizabeth 05  ICP 1 - 0,444,276,26
ED-Marietta 2A  ICP 1 - 0,411,180,34
ED-Oregon 01  ICP 1 - 0,253,114,16
ED-Smyrna 3B  ICP 1 - 0,252,239,20
ED-Birney 02  ICP 1 - 0,270,347,24
ED-Kemp 03  ICP 1 - 0,650,181,43
ED-Ford 01  ICP 1 - 0,526,162,30
ED-Mableton 04  ICP 1 - 0,185,154,13
ED-Marietta 2B  ICP 1 - 0,427,407,43
ED-Eastside 01  ICP 1 - 0,527,197,34
ED-Vinings 01  ICP 1 - 0,315,413,23
ED-Terrell Mill 01  ICP 1 - 0,152,234,18
ED-Terrell Mill 01  ICP 2 - 0,215,297,27
ED-Marietta 6A  ICP 1 - 0,88,243,24
ED-Kennesaw 4A  ICP 1 - 0,359,312,36
ED-Elizabeth 03  ICP 1 - 0,462,219,26
ED-Kemp 01  ICP 1 - 0,361,95,21
ED-Mt Bethel 04  ICP 1 - 0,442,199,30
ED-Harmony-Leland 02  ICP 1 - 0,132,378,17
ED-Vinings 04  ICP 1 - 0,603,257,33
ED-Marietta 5A  ICP 1 - 0,228,270,25
ED-Nicholson 01  ICP 1 - 0,356,229,27
ED-Marietta 4A  ICP 1 - 0,532,133,22
ED-Bryant 01  ICP 1 - 0,37,235,5
ED-Hayes 01  ICP 1 - 0,508,203,32
ED-Chattahoochee 01  ICP 1 - 0,219,391,17
ED-Chattahoochee 01  ICP 2 - 0,152,235,9
ED-Roswell 02  ICP 1 - 0,629,287,36
ED-Elizabeth 02  ICP 1 - 0,388,199,29
ED-Sope Creek 02  ICP 1 - 0,265,149,11
ED-Sope Creek 02  ICP 2 - 0,403,254,28
ED-Lindley 01  ICP 1 - 0,105,207,9
ED-Lindley 01  ICP 2 - 0,179,291,10
ED-Wade Green 02  ICP 1 - 0,468,385,51
ED-Wade Green 02  ICP 2 - 0,75,55,8
ED-Lost Mountain 03  ICP 1 - 0,268,107,22
ED-Addison 01  ICP 1 - 0,313,218,15
ED-Lost Mountain 03  ICP 2 - 0,229,106,27
ED-Kennesaw 2A  ICP 1 - 0,411,304,25
ED-Post Oak 01  ICP 1 - 0,618,249,39
ED-Marietta 5B  ICP 1 - 0,123,283,20
ED-Elizabeth 01  ICP 1 - 0,280,384,30
ED-Sewell Mill 03  ICP 1 - 0,459,425,43
ED-Sope Creek 03  ICP 1 - 0,558,203,35
ED-Norton Park 01  ICP 1 - 0,190,241,17
ED-Norton Park 01  ICP 2 - 0,211,212,22
ED-Macland 01  ICP 1 - 0,240,378,22
ED-Mt Bethel 03  ICP 1 - 0,356,178,43
ED-Gritters 01  ICP 1 - 0,613,337,66
ED-Nickajack 01  ICP 1 - 0,153,286,13
ED-Nickajack 01  ICP 2 - 0,131,287,12
ED-Powder Springs 1A  ICP 1 - 0,120,193,16
ED-Powder Springs 1A  ICP 2 - 0,137,197,21
ED-Sewell Mill 01  ICP 1 - 0,516,278,38
ED-Shallowford Falls 01  ICP 1 - 0,669,250,41
ED-Lost Mountain 04  ICP 1 - 0,367,124,22
ED-Kemp 02  ICP 1 - 0,531,255,36
ED-Oregon 02  ICP 1 - 0,189,344,27
ED-Oregon 02  ICP 2 - 0,91,221,12
ED-Oregon 04  ICP 1 - 0,234,376,23
ED-Baker 01  ICP 2 - 0,191,182,25
ED-Baker 01  ICP 1 - 0,261,244,18
ED-Simpson 01  ICP 1 - 0,272,137,8
ED-Bells Ferry 04  ICP 1 - 0,606,273,41
ED-Marietta 6B  ICP 1 - 0,441,298,23
ED-Harmony-Leland 01  ICP 1 - 0,84,222,10
ED-Sandy Plains 01  ICP 1 - 0,409,247,39
ED-Cooper 01  ICP 1 - 0,94,226,12
ED-Cooper 01  ICP 2 - 0,84,251,8
ED-Pitner 01  ICP 1 - 0,502,287,45
ED-Sweetwater 02  ICP 1 - 0,122,292,16
ED-Marietta 3A  ICP 1 - 0,572,364,42
ED-Powder Springs 3A  ICP 1 - 0,189,445,16
ED-McClure 01  ICP 1 - 0,509,200,38
ED-Pine Mountain 02  ICP 1 - 0,565,159,25
ED-Dobbins 01  ICP 1 - 0,109,219,18
ED-Pine Mountain 01  ICP 1 - 0,592,201,24
ED-Marietta 7A  ICP 1 - 0,113,288,21
ED-Smyrna 6A  ICP 2 - 0,114,96,13
ED-Clarkdale 01  ICP 1 - 0,140,162,14
ED-Smyrna 6A  ICP 1 - 0,436,349,34
ED-Lost Mountain 02  ICP 1 - 0,612,176,54
ED-Davis 01  ICP 1 - 0,379,223,30
ED-Mars Hill 02  ICP 1 - 0,404,193,42
ED-North Cobb 01  ICP 1 - 0,267,197,26
ED-Marietta 1A  ICP 1 - 0,242,326,22
ED-Hightower 01  ICP 1 - 0,556,266,50
ED-Acworth 1A  ICP 2 - 0,252,210,16
ED-Fair Oaks 04  ICP 1 - 0,167,307,16
ED-Fair Oaks 04  ICP 2 - 0,51,93,6
ED-McEachern 01  ICP 1 - 0,267,268,15
ED-Smyrna 7A  ICP 2 - 0,202,191,25
ED-Smyrna 7A  ICP 1 - 0,225,311,13
ED-Willeo 01  ICP 1 - 0,436,201,31
ED-Dowell 01  ICP 1 - 0,412,274,37
ED-Bryant 02  ICP 1 - 0,50,382,12
ED-Bryant 02  ICP 2 - 0,24,197,8
ED-Powers Ferry 01  ICP 1 - 0,434,366,44
ED-Mableton 01  ICP 1 - 0,90,182,11
ED-Mableton 03  ICP 1 - 0,287,230,32
ED-Mableton 01  ICP 2 - 0,104,212,18
ED-Smyrna 5A  ICP 1 - 0,305,420,28
ED-Sweetwater 01  ICP 1 - 0,254,295,34
ED-Fair Oaks 02  ICP 1 - 0,240,396,36
ED-Fair Oaks 02  ICP 2 - 0,33,55,3
ED-Durham 01  ICP 1 - 0,581,166,35
ED-Mars Hill 01  ICP 1 - 0,628,175,36
ED-Mableton 02  ICP 1 - 0,157,296,21
ED-Rocky Mount 01  ICP 1 - 0,661,296,39
ED-Vinings 02  ICP 1 - 0,165,248,17
ED-Oakdale 01  ICP 1 - 0,384,414,32
ED-Vinings 02  ICP 2 - 0,263,368,32
ED-Big Shanty 02  ICP 1 - 0,480,314,35
ED-Mabry 01  ICP 1 - 0,345,129,14
ED-Smyrna 3A  ICP 1 - 0,336,383,40
ED-Birney 01  ICP 1 - 0,210,259,19
ED-Austell 1A  ICP 1 - 0,87,186,9
ED-Kennesaw 1A  ICP 1 - 0,227,233,27
ED-Cheatham Hill 03  ICP 1 - 0,515,319,40
ED-Acworth 1B  ICP 1 - 0,278,167,24
ED-Acworth 1B  ICP 2 - 0,230,175,23
ED-Acworth 1C  ICP 1 - 0,116,142,15
ED-Chalker 01  ICP 1 - 0,156,256,12
ED-Acworth 1C  ICP 2 - 0,154,191,16
ED-Chalker 01  ICP 2 - 0,252,339,27
ED-Pebblebrook 01  ICP 1 - 0,72,213,12
ED-Pebblebrook 01  ICP 2 - 0,98,241,12
ED-Kennesaw 5A  ICP 2 - 0,379,278,38
ED-Kennesaw 5A  ICP 1 - 0,366,358,36
ED-Oregon 03  ICP 1 - 0,79,165,17
ED-Oregon 03  ICP 2 - 0,148,299,19
ED-Austell 1B  ICP 1 - 0,36,231,6
ED-Powder Springs 2A  ICP 1 - 0,92,259,11
ED-Clarkdale 02  ICP 1 - 0,166,272,18
ED-Clarkdale 02  ICP 2 - 0,154,252,14
ED-Oregon 05  ICP 1 - 0,414,335,35
ED-Kennesaw 3A  ICP 2 - 0,75,103,5
ICC-Absentee by Mail 2 - 1,6,14,1
ICC-Absentee by Mail 2 - 602,4,13,0
ICC-Absentee by Mail 2 - 606,12,13,0
ICC-Absentee by Mail 2 - 599,8,15,0
ICC-Absentee by Mail 2 - 601,30,20,0
ICC-Absentee by Mail 2 - 6,12,13,0
ICC-Absentee by Mail 2 - 597,0,1,0
ICC-Absentee by Mail 2 - 598,2,12,0
ICC-Absentee by Mail 2 - 605,4,12,1
ICC-Absentee by Mail 2 - 604,7,5,0
ICC-Absentee by Mail 2 - 603,16,8,0
ICC-Absentee by Mail 2 - 588,8,16,1
ICC-Absentee by Mail 2 - 596,1,5,0
ICC-Absentee by Mail 2 - 589,5,9,0
ICC-Absentee by Mail 2 - 587,8,4,1
ICC-Absentee by Mail 2 - 59,11,14,0
ICC-Absentee by Mail 2 - 594,5,3,0
ICC-Absentee by Mail 2 - 590,4,16,0
ICC-Absentee by Mail 2 - 593,0,3,2
