Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,8,10,2
ICC-Absentee by Mail - 2,18,29,0
ICC-Absentee by Mail - 3,31,18,0
ICC-Absentee by Mail - 4,8,14,0
ICC-Absentee by Mail - 5,22,15,0
ICC-Absentee by Mail - 6,10,19,0
ICC-Absentee by Mail - 7,8,9,0
ICC-Absentee by Mail - 8,9,37,1
ICC-Absentee by Mail - 9,7,37,0
ICC-Absentee by Mail - 10,2,7,1
ED-Senior Citizen Bldg ICP 1 - 0,164,62,12
ED-LCSC ICP 1 - 0,313,37,19
ED-LCSC ICP 2 - 0,301,50,9
ICC-Absentee by Mail - 11,10,11,0
ICC-Absentee by Mail - 12,16,14,0
ICC-Absentee by Mail - 13,2,1,0
ED-Redbone ICP 1 - 0,252,22,14
ED-Chappell Mill V. FD ICP 1 - 0,457,53,39
ED-Barnesville ICP 1 - 0,178,192,13
ICC-Absentee by Mail - 14,4,23,0
ICC-Absentee by Mail - 15,8,3,0
ICC-Absentee by Mail - 16,6,4,0
ICC-Absentee by Mail - 17,2,2,0
ICC-Absentee by Mail - 18,0,2,1
ICC-Absentee by Mail - 19,5,4,0
ED-Milner ICP 1 - 0,614,112,40
ED-Milner ICP 2 - 0,213,28,6
ICC-Absentee in Person - 1,2822,1033,142
ICC-Absentee by Mail - 20,1,1,0
ICC-Provisional - 1,5,0,0
