Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 6,12,12,0
ICC-Absentee by Mail - 7,10,18,0
ICC-Absentee by Mail - 8,16,7,0
ICC-Absentee by Mail - 9,16,6,0
ICC-Absentee by Mail - 10,7,8,0
ICC-Absentee by Mail - 11,20,5,0
ICC-Absentee by Mail - 12,14,11,0
ICC-Absentee by Mail - 13,11,14,0
ICC-Absentee by Mail - 14,15,9,0
ICC-Absentee by Mail - 15,12,10,2
ICC-Absentee by Mail - 16,12,12,1
ICC-Absentee by Mail - 17,15,10,0
ICC-Absentee by Mail - 18,14,10,1
ICC-Absentee by Mail - 19,17,8,0
ICC-Absentee by Mail - 20,11,14,0
ICC-Absentee by Mail - 21,3,0,0
AV-Elections Office ICP 1 - 0,4351,564,192
ED-Lifsey Springs ICP 1 - 0,313,22,13
ED-Concord ICP 1 - 0,415,60,18
ED-Zebulon ICP 1 - 0,325,48,24
ED-Molena ICP 1 - 0,437,54,20
ED-Hollonville ICP 1 - 0,506,23,22
ED-Meansville ICP 1 - 0,387,29,10
ED-Second District ICP 1 - 0,542,35,21
ED-Williamson ICP 1 - 0,483,38,16
ICC-Provisional - 1,2,0,0
