Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Advance Voting - 1,789,202,37
ICC-Absentee by Mail - 1,11,8,2
ICC-Absentee by Mail - 2,23,26,1
ICC-Absentee by Mail - 3,20,27,0
ICC-Absentee by Mail - 4,24,26,0
ICC-Absentee by Mail - 5,7,14,1
ICC-Absentee by Mail - 6,16,12,0
ICC-Absentee by Mail - 7,24,26,0
ICC-Absentee by Mail - 8,27,21,1
ICC-Absentee by Mail - 9,14,16,1
ICC-Absentee by Mail - 10,10,4,2
ICC-Absentee by Mail - 11,0,2,0
ICC-Absentee by Mail - 12,0,4,0
ICC-Absentee by Mail - 13,6,0,0
AV-Courthouse ICP 2 - 0,1712,464,77
ED-Monticello ICP 1 - 0,289,89,19
ED-Monticello ICP 2 - 0,253,122,17
ED-Wyatt ICP 1 - 0,572,96,25
ED-Martin-Burney ICP 2 - 0,718,62,40
ED-Martin-Burney ICP 1 - 0,488,32,15
ICC-Absentee by Mail - 14,1,0,0
ICC-Provisional - 1,6,0,0
