Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,1331,1413,48
ICC-Absentee By Mail - 1,5,18,0
ICC-Absentee By Mail - 2,9,14,1
ICC-Absentee By Mail - 3,0,24,0
ICC-Absentee By Mail - 4,5,19,0
ICC-Absentee By Mail - 5,8,18,0
ICC-Absentee By Mail - 6,8,16,0
ICC-Absentee By Mail - 7,7,17,0
ICC-Absentee By Mail - 8,4,20,0
ICC-Absentee By Mail - 9,10,14,0
ICC-Absentee By Mail - 10,7,18,0
ICC-Absentee By Mail - 11,3,18,1
ICC-Absentee By Mail - 12,4,19,2
ICC-Absentee By Mail - 13,9,15,0
ICC-Absentee By Mail - 14,8,17,0
ICC-Absentee By Mail - 15,3,21,0
ICC-Absentee By Mail - 16,9,16,0
ICC-Absentee By Mail - 17,7,17,0
ICC-Absentee By Mail - 18,5,18,0
ICC-Absentee By Mail - 19,15,9,1
ICC-Absentee By Mail - 20,8,16,0
ICC-Absentee By Mail - 21,3,11,2
ED-Louisville ICP 1 - 0,265,301,17
ED-Stapleton Crossroads ICP 1 - 0,102,43,2
ED-Wadley ICP 1 - 0,112,256,8
ED-Avera ICP 1 - 0,177,16,4
ED-Stapleton ICP 1 - 0,201,71,3
ED-Wrens ICP 1 - 0,432,337,20
ED-Matthews ICP 1 - 0,216,47,8
ED-Bartow ICP 1 - 0,92,42,4
ICC-Provisional - 1,1,0,0
