Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,36,13,1
ICC - Absentee by Mail - 2,38,12,0
ICC - Absentee by Mail - 3,37,12,1
ICC - Absentee by Mail - 4,37,12,0
ICC - Absentee by Mail - 5,34,12,0
ICC - Absentee by Mail - 6,33,13,4
ICC - Absentee by Mail - 7,39,9,2
ICC - Absentee by Mail - 8,27,10,1
ED - West Franklin ICP 1 - 0,413,31,18
ED - Carnesville ICP 1 - 0,529,39,26
ED - Southwest Franklin ICP 1 - 0,635,26,39
ED - Canon ICP 1 - 0,359,26,9
ED - Lavonia ICP 1 - 0,493,98,22
ED - Royston ICP 1 - 0,425,69,24
ED - Northeast Franklin ICP 1 - 0,742,69,28
ICC - Absentee by Mail - 9,5,2,0
AV - Elections Office ICP 1 - 0,3549,424,149
