Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,28,26,2
ICC-Absentee by Mail - 2,22,15,3
ICC-Absentee by Mail - 3,26,15,1
ICC-Absentee by Mail - 4,12,10,0
ICC-Absentee by Mail - 5,34,20,2
ICC-Absentee by Mail - 6,17,11,2
ICC-Absentee by Mail - 7,38,23,1
ICC-Absentee by Mail - 8,23,41,2
ICC-Absentee by Mail - 9,22,25,1
ICC-Absentee by Mail - 10,22,9,0
ICC-Absentee by Mail - 11,6,5,0
ED-Lexington ICP 1 - 0,552,157,47
ED-Crawford ICP 1 - 0,459,140,21
ED-Beaverdam ICP 1 - 0,712,218,40
AV-Board of Elections ICP 1 - 0,2762,992,147
ICC-Absentee by Mail - 12,2,0,0
ICC-Provisional - 1,0,1,0
