Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail 1 - 2,3,8,0
ICC - Absentee by Mail 1 - 1,10,9,1
ICC - Absentee by Mail 1 - 3,2,9,0
ICC - Absentee by Mail 1 - 5,7,11,1
ICC - Absentee by Mail 1 - 4,3,23,0
ICC - Absentee by Mail 1 - 6,17,28,3
ICC - Absentee by Mail 2 - 11,12,25,0
ICC - Absentee by Mail 2 - 12,18,29,0
ICC - Absentee by Mail 2 - 9,15,28,0
ICC - Absentee by Mail 2 - 1,14,21,0
ICC - Absentee by Mail 2 - 10,15,29,1
ICC - Absentee by Mail 2 - 3,7,20,2
ICC - Absentee by Mail 2 - 4,3,19,0
ICC - Absentee by Mail 2 - 2,19,24,1
ICC - Absentee by Mail 2 - 7,3,41,1
ICC - Absentee by Mail 2 - 8,25,31,0
ICC - Absentee by Mail 2 - 6,9,30,1
ICC - Absentee by Mail 2 - 5,15,38,2
ICC - Absentee by Mail 1 - 12,18,27,0
ICC - Absentee by Mail 1 - 11,20,28,0
ICC - Absentee by Mail 1 - 13,11,25,1
ICC - Absentee by Mail 1 - 7,6,16,0
ICC - Absentee by Mail 1 - 9,11,22,0
ICC - Absentee by Mail 1 - 8,22,44,0
ICC - Absentee by Mail 1 - 10,6,22,1
ICC - Absentee by Mail 2 - 15,7,18,0
ICC - Absentee by Mail 2 - 16,12,16,1
ICC - Absentee by Mail 2 - 23,15,16,2
ICC - Absentee by Mail 2 - 14,5,25,1
ICC - Absentee by Mail 2 - 13,11,20,0
ICC - Absentee by Mail 2 - 17,11,24,0
ICC - Absentee by Mail 2 - 18,11,14,2
ICC - Absentee by Mail 2 - 22,5,38,0
ICC - Absentee by Mail 2 - 21,2,13,0
ICC - Absentee by Mail 2 - 20,6,25,0
ICC - Absentee by Mail 2 - 19,4,10,0
ICC - Absentee by Mail 1 - 19,11,24,0
ICC - Absentee by Mail 1 - 18,8,12,0
ICC - Absentee by Mail 1 - 17,8,5,0
ICC - Absentee by Mail 1 - 16,1,9,0
ICC - Absentee by Mail 1 - 15,6,25,0
ICC - Absentee by Mail 1 - 20,6,10,0
ICC - Absentee by Mail 1 - 21,7,8,1
ICC - Absentee by Mail 1 - 26,11,18,0
ICC - Absentee by Mail 1 - 25,8,33,0
ICC - Absentee by Mail 1 - 24,3,14,0
ICC - Absentee by Mail 1 - 23,17,23,0
ICC - Absentee by Mail 1 - 22,9,14,1
ICC - Absentee by Mail 1 - 14,9,16,0
ICC - Absentee by Mail 2 - 38,4,15,1
ICC - Absentee by Mail 2 - 29,13,30,1
ICC - Absentee by Mail 2 - 27,11,42,1
ICC - Absentee by Mail 2 - 28,7,53,0
ICC - Absentee by Mail 2 - 26,9,23,0
ICC - Absentee by Mail 2 - 24,29,35,0
ICC - Absentee by Mail 2 - 25,0,7,0
ICC - Absentee by Mail 2 - 30,12,19,1
ICC - Absentee by Mail 2 - 31,11,19,0
ICC - Absentee by Mail 2 - 36,19,13,0
ICC - Absentee by Mail 2 - 37,13,44,1
ICC - Absentee by Mail 2 - 35,35,35,0
ICC - Absentee by Mail 2 - 34,19,23,0
ICC - Absentee by Mail 2 - 32,19,30,0
ICC - Absentee by Mail 2 - 33,22,25,1
ICC - Absentee by Mail 1 - 31,19,29,0
ICC - Absentee by Mail 1 - 30,18,39,0
ICC - Absentee by Mail 1 - 29,18,27,0
ICC - Absentee by Mail 1 - 28,8,10,0
ICC - Absentee by Mail 1 - 32,10,22,0
ICC - Absentee by Mail 1 - 33,6,37,0
ICC - Absentee by Mail 1 - 34,2,0,0
ICC - Absentee by Mail 1 - 38,10,26,0
ICC - Absentee by Mail 1 - 37,5,30,0
ICC - Absentee by Mail 1 - 36,7,42,0
ICC - Absentee by Mail 1 - 35,9,39,0
ICC - Absentee by Mail 1 - 27,13,34,0
ICC - Absentee by Mail 2 - 61,3,5,0
ICC - Absentee by Mail 2 - 46,5,16,0
ICC - Absentee by Mail 2 - 45,25,20,1
ICC - Absentee by Mail 2 - 48,8,24,0
ICC - Absentee by Mail 2 - 44,12,8,0
ICC - Absentee by Mail 2 - 43,4,13,0
ICC - Absentee by Mail 2 - 39,6,17,0
ICC - Absentee by Mail 2 - 40,11,36,0
ICC - Absentee by Mail 2 - 41,4,14,0
ICC - Absentee by Mail 2 - 42,5,16,0
ICC - Absentee by Mail 2 - 49,6,19,2
ICC - Absentee by Mail 2 - 50,0,3,0
ICC - Absentee by Mail 2 - 57,2,5,1
ICC - Absentee by Mail 2 - 58,0,6,0
ICC - Absentee by Mail 2 - 59,1,2,0
