Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,3152,675,202
AV-Elections Office ICP 2 - 0,3277,662,163
ED-Dahlonega ICP 1 - 0,533,87,46
ED-Dahlonega ICP 2 - 0,532,58,46
ED-Dahlonega ICP 3 - 0,464,60,42
ED-Dahlonega ICP 4 - 0,541,65,46
ED-Dahlonega ICP 5 - 0,534,76,41
ED-Dahlonega ICP 6 - 0,527,71,44
ICC - Absentee By Mail - 2,32,16,1
ICC - Absentee By Mail - 10,28,21,1
ICC - Absentee By Mail - 9,34,19,1
ICC - Absentee By Mail - 12,30,14,6
ICC - Absentee By Mail - 11,38,9,3
ICC - Absentee By Mail - 3,31,16,2
ICC - Absentee By Mail - 4,30,20,0
ICC - Absentee By Mail - 7,42,17,1
ICC - Absentee By Mail - 8,38,19,2
ICC - Absentee By Mail - 6,32,22,3
ICC - Absentee By Mail - 5,17,15,2
ICC - Absentee By Mail - 1,25,23,0
ICC - Provisional - 1,5,0,0
ICC - Absentee By Mail - 13,3,2,0
