Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee By Mail - 1,37,10,1
ICC-Absentee By Mail - 2,39,10,0
ICC-Absentee By Mail - 3,31,14,0
ICC-Absentee By Mail - 4,36,5,3
ICC-Absentee By Mail - 5,38,9,2
ICC-Absentee By Mail - 6,13,6,0
ICC-Absentee By Mail - 7,13,5,0
ICC-Absentee By Mail - 8,6,4,0
AV-Elections Office ICP 1 - 0,3846,363,167
Election Day Central ICP 1 - 0,1027,96,69
Election Day Central ICP 2 - 0,1205,99,75
ICC-Absentee By Mail - 9,8,0,0
ICC-Provisional - 1,5,0,0
