Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,2582,2615,94
ED-Agri-Center ICP 1 - 0,208,77,6
ED-Rec Dept ICP 1 - 0,73,226,9
ED-Rees Park ICP 1 - 0,75,235,3
ED-Concord ICP 1 - 0,155,1,3
ED-Airport ICP 1 - 0,219,111,7
ED-Browns Mill ICP 1 - 0,225,52,5
ED-JROTC ICP 1 - 0,293,170,13
ED-Andersonville ICP 1 - 0,160,24,2
ED-Leslie ICP 1 - 0,370,106,11
ED-Plains ICP 1 - 0,204,125,5
ED-Thompson ICP 1 - 0,96,53,4
ICC - Absentee By Mail - 1,13,37,0
ICC - Absentee By Mail - 14,0,2,0
ICC - Absentee By Mail - 16,2,4,0
ICC - Absentee By Mail - 15,4,4,0
ICC - Absentee By Mail - 9,11,39,0
ICC - Absentee By Mail - 17,15,34,0
ICC - Absentee By Mail - 13,11,36,2
ICC - Absentee By Mail - 10,12,35,0
ICC - Absentee By Mail - 11,14,36,0
ICC - Absentee By Mail - 12,14,36,0
ICC - Absentee By Mail - 18,15,33,0
ICC - Absentee By Mail - 19,18,31,0
ICC - Absentee By Mail - 6,10,40,0
ICC - Absentee By Mail - 7,9,35,2
ICC - Absentee By Mail - 8,9,41,0
ICC - Absentee By Mail - 5,18,30,1
ICC - Absentee By Mail - 4,9,41,0
ICC - Absentee By Mail - 2,4,19,0
ICC - Absentee By Mail - 20,13,37,0
ICC - Absentee By Mail - 3,8,41,1
ICC - Absentee By Mail - 21,0,1,0
ICC - Provisional - 1,6,1,0
