Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,15,35,0
ICC - Absentee by Mail - 2,11,39,0
ICC - Absentee by Mail - 3,13,37,0
ICC - Absentee by Mail - 4,11,38,0
ICC - Absentee by Mail - 5,15,33,0
ICC - Absentee by Mail - 6,14,36,0
ICC - Absentee by Mail - 7,10,39,0
ICC - Absentee by Mail - 8,9,39,2
ICC - Absentee by Mail - 9,13,35,2
ICC - Absentee by Mail - 10,10,39,0
ICC - Absentee by Mail - 11,14,32,4
ICC - Absentee by Mail - 12,14,35,0
ICC - Absentee by Mail - 13,20,30,0
ICC - Absentee by Mail - 14,20,26,0
ICC - Absentee by Mail - 15,13,36,0
ICC - Absentee by Mail - 16,17,32,0
ICC - Absentee by Mail - 17,23,25,2
ICC - Absentee by Mail - 18,18,27,2
ICC - Absentee by Mail - 19,12,38,0
ICC - Absentee by Mail - 20,16,33,0
ICC - Absentee by Mail - 21,21,29,0
ICC - Absentee by Mail - 22,18,31,0
AV-Elections Office - ICP 1 - 0,2603,2191,116
ICC - Absentee by Mail - 23,11,27,0
AV-Elections Office - ICP 2 - 0,2042,1608,100
ED-N Milledgeville ICP 1 - 0,208,146,15
ED-Meriwether ICP 1 - 0,421,145,26
ED-W Baldwin ICP 1 - 0,273,137,15
ED-Coopers ICP 1 - 0,368,78,22
ED-Boddie ICP 1 - 0,36,121,5
ED-W Thomas ICP 1 - 0,52,127,3
ED-City Hall Annex ICP 1 - 0,40,67,3
ED-N Baldwin ICP 1 - 0,580,126,17
ED-S Milledgeville ICP 1 - 0,41,103,4
ED-Scottboro ICP 1 - 0,168,82,8
ED-Courthouse ICP 1 - 0,24,24,4
ED-E Baldwin ICP 1 - 0,473,276,35
ED-W Hardwick ICP 1 - 0,114,322,13
ED-E Hardwick ICP 1 - 0,44,137,6
ICC - Provisional - 1,0,2,0
ICC - Absentee by Mail - 24,1,0,0
