Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office - ICP 1 - 0,1774,352,53
ICC - Absentee by Mail - 1,28,21,1
ICC - Absentee by Mail - 2,34,15,1
ICC - Absentee by Mail - 3,20,14,0
ED-Southside Gym ICP 1 - 0,430,39,18
ED-Southside Gym ICP 2 - 0,268,38,10
ED-Ocmulgee 2 ICP 1 - 0,139,6,2
ED-Blackburn 2 ICP 1 - 0,225,9,10
ED-Altamaha 2 ICP 1 - 0,421,15,13
ED-Whitehead 2 ICP 1 - 0,232,4,3
ED-Hazlehurst ICP 1 - 0,128,99,6
ICC - Provisional - 1,1,0,0
