Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee By Mail - 1,12,2,0
ICC-Absentee By Mail - 2,1,0,0
ICC-Absentee By Mail - 3,1,0,0
ICC-Absentee By Mail - 4,22,4,0
ICC-Absentee By Mail - 5,22,6,0
ICC-Absentee By Mail - 6,10,5,1
ICC-Absentee By Mail - 7,10,12,0
ICC-Absentee By Mail - 8,7,14,3
ICC-Absentee By Mail - 9,6,16,0
ICC-Absentee By Mail - 10,12,11,0
ICC-Absentee By Mail - 11,16,9,0
ICC-Absentee By Mail - 12,13,11,0
ICC-Absentee By Mail - 13,9,14,0
ICC-Absentee By Mail - 14,9,16,0
ICC-Absentee By Mail - 15,12,11,0
ICC-Absentee By Mail - 16,7,15,0
ICC-Absentee By Mail - 17,10,12,0
ICC-Absentee By Mail - 18,11,5,0
ICC-Absentee By Mail - 19,11,10,0
ICC-Absentee By Mail - 20,7,0,0
ICC-Absentee By Mail - 21,6,8,0
AV-Elections Office ICP 1 - 0,1285,521,39
AV-Elections Office ICP 2 - 0,1231,558,35
ED-Cordele ICP 2 - 0,244,259,13
ED-Cordele ICP 1 - 0,252,251,17
ED-Arabi ICP 1 - 0,197,34,7
ED-Coney ICP 1 - 0,251,24,7
ED-Jamestown ICP 1 - 0,315,14,12
ICC-Absentee By Mail - 22,2,0,0
ED-Listonia ICP 1 - 0,205,13,6
ICC-Absentee By Mail - 23,1,0,0
ICC-Provisional - 1,1,0,0
