Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,6,42,1
ICC - Absentee By Mail - 2,6,43,0
ICC - Absentee By Mail - 3,7,43,0
ICC - Absentee By Mail - 4,8,40,0
ICC - Absentee By Mail - 5,11,36,1
ICC - Absentee By Mail - 6,6,10,1
ED-ONeal ICP 1 - 0,102,51,6
ED-Valley ICP 1 - 0,133,86,4
ED-Valley ICP 2 - 0,7,4,0
ED-Junction City ICP 1 - 0,47,65,5
ED-Geneva ICP 1 - 0,74,70,4
ED-Talbotton ICP 1 - 0,26,107,3
ED-Talbotton ICP 2 - 0,22,63,2
ED-Box Springs ICP 1 - 0,134,58,6
ED-Flint Hill ICP 2 - 0,52,76,5
ED-Flint Hill ICP 1 - 0,77,93,8
AV-Elections Office ICP 1 - 0,91,110,11
AV-Elections Office ICP 2 - 0,381,483,29
