Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,12,61,0
Absentee By Mail ICC - 2,34,58,0
Absentee By Mail ICC - 3,24,50,1
Absentee By Mail ICC - 4,15,44,2
Absentee By Mail ICC - 6,14,16,1
AV-Elections Office ICP 1 - 0,812,860,26
ED-Dawson ICP 1 - 0,114,326,8
ED-Graves ICP 1 - 0,147,26,4
ED-Sasser ICP 1 - 0,306,82,14
ED-Bronwood ICP 1 - 0,144,85,4
ED-Herod-Dover ICP 1 - 0,78,31,0
ED-Parrott ICP 1 - 0,138,45,6
Absentee By Mail ICC - 7,0,1,0
