Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,20,30,0
Absentee By Mail ICC - 2,12,37,0
Absentee By Mail ICC - 3,16,32,2
Absentee By Mail ICC - 4,17,32,0
Absentee By Mail ICC - 5,21,29,0
Absentee By Mail ICC - 6,17,31,0
Absentee By Mail ICC - 7,13,35,0
Absentee By Mail ICC - 8,11,37,2
Absentee By Mail ICC - 9,17,31,1
Absentee By Mail ICC - 10,10,39,0
Absentee By Mail ICC - 11,30,19,1
Absentee By Mail ICC - 12,14,15,0
AV-Elections Office ICP 1 - 0,1872,1331,56
Absentee By Mail ICC - 13,1,0,0
ED-Branchville ICP 1 - 0,230,16,6
ED-Camilla North ICP 1 - 0,67,250,4
ED-Cotton ICP 1 - 0,188,6,4
ED-Baconton ICP 1 - 0,215,113,6
ED-Pebble City ICP 1 - 0,68,8,1
ED-Hopeful ICP 1 - 0,119,9,0
ED-Hinsonton ICP 1 - 0,75,4,4
Election Day Central ICC - 1,25,1,0
Election Day Central ICC - 2,43,3,2
Election Day Central ICC - 4,43,4,3
Election Day Central ICC - 3,43,4,2
Election Day Central ICC - 5,38,9,1
Election Day Central ICC - 6,48,3,1
Election Day Central ICC - 7,49,10,3
Election Day Central ICC - 8,43,4,0
ED-Sale City ICP 1 - 0,144,25,4
ED-Pelham ICP 1 - 0,390,246,15
Election Day Central ICC - 9,23,40,0
Election Day Central ICC - 10,38,22,2
Election Day Central ICC - 11,33,43,3
Election Day Central ICC - 12,19,12,0
Election Day Central ICC - 13,22,25,1
Election Day Central ICC - 15,49,60,1
Election Day Central ICC - 14,47,31,4
Election Day Central ICC - 16,20,7,2
Provisional ICC - 1,2,0,0
