Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,2446,632,105
AV-Elections Office ICP 2 - 0,2219,553,86
ED-Danielsville ICP 1 - 0,161,28,14
ED-Danielsville ICP 2 - 0,209,33,15
ED-Collins ICP 1 - 0,210,20,12
ED-Poca ICP 1 - 0,316,33,14
ED-Paoli ICP 1 - 0,117,6,1
ICC-Absentee by Mail - 13,10,5,0
ICC-Absentee by Mail - 9,30,14,0
ICC-Absentee by Mail - 16,22,18,0
ICC-Absentee by Mail - 15,27,18,1
ICC-Absentee by Mail - 14,23,27,0
ICC-Absentee by Mail - 12,39,19,3
ICC-Absentee by Mail - 10,39,10,0
ICC-Absentee by Mail - 11,0,3,0
ICC-Absentee by Mail - 17,2,5,1
ICC-Absentee by Mail - 18,2,4,0
ICC-Absentee by Mail - 19,9,8,0
ICC-Absentee by Mail - 7,25,23,1
ICC-Absentee by Mail - 8,41,16,0
ICC-Absentee by Mail - 5,4,11,0
ICC-Absentee by Mail - 6,11,0,0
ICC-Absentee by Mail - 4,51,13,0
ICC-Absentee by Mail - 2,7,0,1
ICC-Absentee by Mail - 3,12,40,2
ICC-Absentee by Mail - 1,36,30,0
ED-Colbert ICP 1 - 0,198,52,11
ED-Colbert ICP 2 - 0,447,129,28
ED-Ila ICP 1 - 0,395,39,15
ED-Fork ICP 1 - 0,181,44,10
ED-Harrison ICP 1 - 0,261,15,14
ED-Mill ICP 1 - 0,387,40,22
ED-Comer ICP 1 - 0,323,110,25
ED-Hull ICP 1 - 0,427,159,26
ED-Hull ICP 2 - 0,360,168,21
ED-Pittman ICP 1 - 0,198,38,13
ED-Pittman ICP 2 - 0,268,42,14
ICC-Provisional - 1,8,1,0
ICC-Absentee by Mail - 20,1,2,0
